id|topics|author|date|text
21037|['Αγάπη']|Αλεξάκη Στέλλα|26/04/2025|" Τα πιο μεγάλα σ'αγαπώ σε δυό μου φράσεις έχεις,, ""γειά σου, τί κάνεις"" είναι η μιά κι η άλλη ""να προσέχεις"" "
21024|['Αγάπη']|Απόστολος Βόμπρας|24/04/2025| Τυφλός εγώ, κλωστή εσύ, η αγάπη μας βελόνα,, να την περάσω προσπαθώ φαντάσου τον αγώνα 
21009|['Αγάπη', 'Πάσχα']|Απόστολος Βόμπρας|24/04/2025| Ετούτη την ανάσταση κερί θα σου ανάψω, λόγο να δώσω στο θεό πως δεν θα σε ξεχάσω 
21007|['Αγάπη', 'Ονειρα']|Μαλακούρα Βασιλεία|15/04/2025| Κάνε το πρώτο ζάλο εσύ να κάνω εγώ το αλλο, να γινει η αγαπη μας τ' όνειρο το μεγάλο 
21004|['Αγάπη']|Άννα Μαρία Καπετανάκη|04/04/2025| Στον ουρανό θα ανεβώ για να σε κάνω χάζι,, να δω αν το χαμόγελο στα χείλη σου χαράζει 
21003|['Αγάπη']|Μαλακούρα Βασιλεία|04/04/2025| Λουλούδι μέσα στο μπαξέ σ έχω και σε φροντίζω, μην έρθει φως μου ο καιρός που χώρια σου θα ζήσω 
21002|['Αγάπη']|Κουτσουράκης Βασίλης|04/04/2025| Εσύ 'σαι το ξημέρωμα, το φως που με ζεσταίνει,, κι η νύχτα που με κυβερνά, όταν το φως πεθαίνει. 
20980|['Αγάπη']|Φραγκούλης Κωστής|01/02/2025| Στην τράπεζα που εργάζεσαι θα βάλω τα λεφτά μου, για να ’ρχομαι να σε θωρώ να χαίρετ’ η καρδιά μου 
20979|['Αγάπη', 'Ομορφιά']|Φραγκούλης Κωστής|01/02/2025| Περνάς και μου χαμογελάς κι εγώ θαρρώ πως βγαίνει, αγιοκαμάρα στο βουνό και τον καιρό γλυκαίνει. 
20976|['Αγάπη']|Φραγκούλης Κωστής|01/02/2025| Ισόβια με δίκασες, ποινή πολύ μεγάλη., Θέλω να κάμω φυλακή στην εδική σου αγκάλη 
20971|['Αγάπη']|Χαιρέτης Aριστείδης (Γυαλάφτης)|01/02/2025| Μόνο η αγάπη συγχωρεί τα λάθη τα μεγάλα, και σε παρακαλώ πολύ θέλω να κάμεις κι άλλα 
20968|['Αγάπη', 'Θάνατος']|Βασιλης Κολουνταζακης|01/02/2025| Κάτω στου Άδη στα βαθιά στα σκοτεινά τοπία, θα'ρθω να ψάξω κοπελιά γιατί σε έχω μια 
20962|['Αγάπη']|Νίκος Καζαλάκης|15/01/2025| Μέσα που την αγάπη σου εβρήκα την ελπίδα, και χάρηκα μες στην ζωή ότι από σένα πήρα 
20942|['Αγάπη']|Χαιρέτης Aριστείδης (Γυαλάφτης)|20/12/2024| Έφυγα και εξέχασα τα σπίρτα μου να πάρω, μα με τσ'αγάπης τη φωθιά τ'ανάφτω το τσιγάρο 
20930|['Αγάπη']|Ιωάννης Α. Κυριακάκης|08/12/2024| Εγώ μωρό μου σ'αγαπώ και δε γυρεύω άλλη., Εσύ είσαι για εμένανε η αγάπη η πιο μεγάλη 
20922|['Αγάπη', 'Σεβντάς']||16/11/2024| Όταν σε δω η άνοιξη μες στην καρδιά μου μπαίνει, κι ας είναι απ'´οξω τα βουνά κι οι κάμποι χιονισμένοι 
