id|topics|author|date|text
20566|['Άγιος Βαλεντίνος']||14/02/2024| Ολόκληρή μου τη ζωή σε σένα παραδίνω,, σήμερα που γιορτάζουνε τον Άγιο Βαλεντίνο 
19578|['Άγιος Βαλεντίνος']||15/02/2023| Όποιος γιορτάζει σήμερα γιορτάζει όλο τον χρόνο, γιατί ο έρωτας περνά με άλλη αγάπη μόνο 
18814|['Άγιος Βαλεντίνος']|Κατικάς Μανώλης|01/10/2021| Τον Άγιο το σημερινό τον έχω κάνει πέρα, γιατί άναψά του ένα κερί και κάηκα στη χέρα 
18531|['Άγιος Βαλεντίνος']|Χρονάκης Κωστής|09/03/2021| Πως να χαρώ με τη γιορτή του Βαλεντίνου πάλι, απού'χω το μνημόσυνο για μια φιλιά μεγάλη.. 
17482|['Άγιος Βαλεντίνος']|Αθηνά Καλαϊτζάκη|14/03/2020| Θα σ'αγαπώ σαν μια φωτιά π'ανάβει και δεν σβήνει,, που όσο νερό κι αν της πετάς θα σοφουντώνει 'κείνη 
17383|['Άγιος Βαλεντίνος']|Πετράκης Νικόλας|23/02/2020| Αγάπη έχω στην καρδιά κι όπου αγαπώ τη δίνω., Δεν περιμένω τις γιορτές, ούτε τον Βαλεντίνο 
15355|['Άγιος Βαλεντίνος']|Παπαδόγιαννη Κωστούλα|13/02/2015| Απ`όσα μου 'δωκε ο Θιός εγώ αγαπώ τη σκέψη, που ο νους μπορεί απάνω σου χίλιες φορές να πέψει. 
15345|['Άγιος Βαλεντίνος']|Καλομοίρης Πέτρος|13/02/2015| Η ιστορία γράφει εφτά τα θαύματα του κόσμου,, μα 'γω θωρώ το όγδοο στο πρόσωπο σου φως μου 
15317|['Άγιος Βαλεντίνος']|Μονιακης Μανος|13/02/2015| Μού 'δωσες νόημα να ζω και δύναμη ν'αντέχω,, και ξημερώνει επειδή στην αγκαλιά μου σ'έχω 
15252|['Άγιος Βαλεντίνος']|Κουγεντάκης Μανώλης|13/02/2015| Ούτε νοτιάς, ούτε βοριάς, σε παίρνει μακριά μου,, γιατί έχεις ρίξει άγκυρα στο βάθος τση καρδιάς μου. 
14767|['Άγιος Βαλεντίνος']|Ατσαλάκη Ηλιάνα|07/12/2014| Τ' Αγίου Βαλεντίνου έκανα μία ευχή μεγάλη, να σ' έχει ο θεός καλά στην εδική μου αγκάλη 
14371|['Άγιος Βαλεντίνος']|Χαιρέτης Aριστείδης (Γυαλάφτης)|22/06/2014| Ολο το χρόνο σ'αγαπώ άσπρη μου περιστέρα, κι ασ' τσ' άλλους να γιορτάζουνε το χρόνο μιαν ημέρα. 
14349|['Άγιος Βαλεντίνος']||22/06/2014| Εγώ μικρή μου αγαπώ, τρείς κόρες στο χωριό σου,, η μια 'σαι 'συ και οι άλλες δυό, οι κόρες τω μαθιώ σου. 
10514|['Άγιος Βαλεντίνος']|Κουφαλιτάκης Μιχαήλ|20/02/2009| Στου Βαλεντίνου την γιορτή είμαι σκοπός στην πύλη, και πεθυμω αγάπη μου τα δυο γλυκά σου χείλη 
8413|['Άγιος Βαλεντίνος']|Λάγιος Γιώργος|18/07/2002| Σημερα που γιορταζουνε ολοι οι ερωτευμενοι, εγω θα ειμαι μοναχος με την καρδια θλιμμενη 
8124|['Άγιος Βαλεντίνος']|Λάγιος Γιώργος|11/07/2002| Εγω για την αγαπη σου και την ζωη μου δινω, κι οι αλλοι ας γιορταζουνε τον Αγιο Βαλεντινο 
