id|topics|author|date|text
19581|['Απόκριες']|Γιώργος Λινοξυλάκης|21/02/2023| Απόκριες ντυθήκαμε κερά μου μερακλίνα,, Ρωμαίος στρατηγός εγώ κι εσύ η Μεσσαλίνα. 
17495|['Απόκριες']|Κυβερνητακης Νικος|14/03/2020| Έρχονται κι οι απόκριες και το χω απορια, τι θα ντυθεί που ολοχρονις φόραγε προσωπεια 
17390|['Απόκριες']|Παγκάλου Ειρήνη|23/02/2020| Μάσκες φορείς πολλώ λογιώ σε όλη τη ζωή σου,, μα'ναι γυμνή στα πάθη σου άνθρωπε η ψυχή σου 
17389|['Απόκριες']|Χαλκιαδάκη Αλεξάνδρα|23/02/2020| Κοίτα να δεις, απόκριες, και συ στο νου μου πάλι,, όντε θ'ακούσω και θα πουν τη λέξη καρναβάλι 
17387|['Απόκριες']|Καρατζάνη Στέλλα|23/02/2020| Απόκριες, μέρες καλές, δεν είναι σαν τις άλλες,, ευχές σας στέλνω φίλοι μου μέσα από μαντινάδες 
17386|['Απόκριες']|Χαλκιαδάκη Αλεξάνδρα|23/02/2020| Φαίνεται πως η μάνα σου απόκριες σε γέννα,, γιατί'χεις πάντα της ψευτιάς, τη μάσκα, μες στο αίμα 
17385|['Απόκριες']||23/02/2020| Μάσκα χαράς εφόρεσα το γέλιο να προβάλει,, να το θωρρούν οι φίλοι μου μη με περνούν για άλλη 
17384|['Απόκριες']|Πιττα Σοφια|23/02/2020| Ήρθανε οι απόκριες κι είσαι μασκαρεμένος., Να προσποιείσαι πάντοτε ήσουν συνηθισμένος 
17382|['Απόκριες']|Πετράκης Νικόλας|23/02/2020| Οι πιο καλοί καρνάβαλοι τις μάσκες που φορούνε,, είναι αυτοί που σου γελούν και πίσω σε μισούνε 
17365|['Απόκριες']||23/02/2020| Καποιοι τις μασκες τους φορουν για μια μερα μονο, και αλλοι δεν τις βγαζουνε ολο τον αλλο χρονο 
17364|['Απόκριες']||23/02/2020| Αλιμονο στον μασκαρα την μασκα οντε βανει, και προσπαθει ολοχρονις τον ανθρωπο να κανει 
17363|['Απόκριες']||23/02/2020| Ήρθανε οι Απόκριες, το γλέντι ας αρχίσει., Δες πως εμασκαρεύτηκα και ποιος θα με γνωρίσει; 
17362|['Απόκριες']||23/02/2020| Ντύθηκε η μοίρα μασκαράς, να μπει στο καρναβάλι, ποιος ξέρει πόσους δυστυχείς, θα ξεγελάσει πάλι. 
17361|['Απόκριες']||23/02/2020| Τσ' απόκριες η μοίρα μου, το πόνο μασκαρεύει, μου τονε στέλνει γελαστό, και με κοροϊδέυει. 
17360|['Απόκριες']||23/02/2020| Φορούν στολές και γίνονται, τις αποκρές πασάδες, μα κάποιοι μένουν πάντοτε, στη ζήση μασκαράδες. 
17359|['Απόκριες']||23/02/2020| Μάσκα για τις απόκριες, μην πάεις να γυρέψεις, και δίχως μάσκα εσύ μπορείς, κόσμο να περιπαίξεις. 
