id|topics|author|date|text
21005|['Αστείες', 'Γάμος & Βάπτιση']||15/04/2025| Θε μου και πως με σύβασε να βάλω το στεφάνι, αφού'χα πληροφορηθεί για τη ζημιά που κάνει 
20917|['Αστείες']||02/11/2024| Μ'έλεγες γουρουνάκι σου και σου'κανα όινκ-όινκ, μα στο αιδοίο σου πάρκαραραν με άνεση δυό μπόινγκ 
20916|['Αστείες']||02/11/2024| Σ'αγάπησα ο δυστυχής βρε κάμπια αφορισμένη,, όμως το κέρατο έφτανε μέχρι την Υεμένη 
20898|['Αστείες']||19/10/2024| Έσκυψε για να πιεί νερό 'πο του χωριού τη βρύση, κ'είδα σταβού που είδανε μουγγούς να'χουν μιλήσει 
20878|['Αστείες', 'Προσωπικές']||05/10/2024| Μακρύνανε τα γένια μου σαλεύω και πατώ τα, και τα μαλλιά μου ασπρίσανε, στσι πλάτες μου θωρρώ τα 
20806|['Αστείες', 'Ερωτας']||13/07/2024| Καλώς τονε το διάολο μόλις σε είδα είπα, γιατί 'δα μες στα μάτια σου πως τον μπελά μου εβρήκα 
20801|['Αστείες', 'Χωρισμός']||06/07/2024| Αν θες να φύγεις κάνε το, μην μ'απειλείς εμένα,, ο δρόμος είναι ανοιχτός και τα σκυλιά δεμένα 
20791|['Αστείες', 'Παράπονα']|Γαγάνης Γιώργος|30/06/2024| Ανάθεματον που θα πει φαΐ τα κολοκύθια,, τσι συμπεθέρους συγγενείς και βουλευτών αλήθεια 
20790|['Αστείες', 'Γνωμικές']|Γιώργος Χαλικάκης|30/06/2024| Άμα γεράσει ο άνθρωπος δεν έχει θεραπεία,, μοιάζει με το γραμμάτιο που λήγει η προθεσμία 
20773|['Αστείες']||16/06/2024| Σαν το μπεγίρι μ΄ έκαμες αναθεματισμένη,, του κάνεις μπρρρσου και σταματά και σέεε για να πηγαίνει 
20772|['Αστείες']||16/06/2024| Έφυγεν η αγάπη μου κι ακόμη δεν τη βρήκα,, μα που' χασε το βούι του όλο μουγκρές εγροίκα 
20771|['Αστείες']||16/06/2024| Σαν τη χελώνα ογλήγορα φεύγω από κοντά σου, κι όσο σιγά πηαίνει ο λαγός γυρνώ στην αγκαλιά σου 
20766|['Αστείες']||14/06/2024| Η τράπεζα μου έστειλε μια visa κάρτα ακόμα, για να γελώ τον Αύγουστο να κλαίω τον χειμώνα 
20751|['Αστείες']|Φαναριτης Χρηστος|04/06/2024| Μην το θαρρείς πως μοναχά το μέγεθος μετράει..., και το κουνούπι είναι μικρό αλλά σε ξαγρυπνάει 
20739|['Αστείες']||28/05/2024| Την κουζουλή μου κεφαλή σιτάρι θα τη σπείρω, να βάλω το βωλόσυρο να τηνε βωλοσύρω 
20610|['Αστείες']|Μπράτης Πέτρος|13/03/2024| Έχω δεσπότη αδελφό καλόγρια γυναίκα, και έναν αρχιδιάκονο μια τρομερή παρέα 
