id|topics|author|date|text
21016|['Δάκρυα']|Απόστολος Βόμπρας|24/04/2025| 'Ενα σου δάκρυ κύλησε το βράδυ που καθόσουν,, θαρρώ πως κάτι σκέφτηκες βαρύ και πληγωνόσουν 
20991|['Δάκρυα']|Παραδεισανός Γιάννης|23/03/2025| Τα δάκρυα ασταμάτητα κυλούν και δεν τ' αντέχω, και μαραμένο γιασεμί ανθεί μ' αυτά σαν βρέχω 
20932|['Δάκρυα']|Αλεφραγκής Μηνάς|08/12/2024| Ένας καταφερε να δει μόνο τα δάκρυα μου,, είναι ο καθρέφτης που έτυχε να βρίσκεται μπροστά μου 
20907|['Βάσανα', 'Δάκρυα']|Γιώργος Μπιλανακης|31/10/2024| Τί κουβαλεί ο άνθρωπος, κανείς δεν το κατέχει,, τρέχει το δάκρυ ποταμός κι ας δείχνει πως αντέχει 
20845|['Δάκρυα']|Μανώλης Ψεκαστήρας|10/09/2024| Αυτός ο βρόγχος της σιωπής, γεννάει ένα δάκρυ, ...σκουπίζω το... μα φαίνεται στων αμαθιώ την άκρη 
20794|['Δάκρυα']|Κώστας Χρονάκης|06/07/2024| Είδες πως σείστηκε η γης στον αναστεναγμό μου,, δεν κλαίω, για θα τρέξουνε οι ποταμοί του κόσμου 
20763|['Δάκρυα']|Καπώνη Νεκταρία|14/06/2024| Όταν θα δεις το δάκρυ μου για σένα να κυλάει,, μην το σκουπίσεις κι άσε το στα χείλη σου να πάει 
20316|['Δάκρυα']|Μαλακούρα Βασιλεία|04/01/2024| Επλήγωσές μου την καρδιά την έκαμες κομμάθια, κι εδά κυλούνε δάκρυα από τα δυό μου μάθια 
20130|['Δάκρυα']|Πέτρος Ρογδάκης|21/11/2023| Επότιζα μια ροδαριά απ'το στερνό μου δάκρυ,, μεγάλωσε και τη θωρώ σ'άλλου μπαξέ την άκρη 
19829|['Δάκρυα']|Δραμουντάντης Μιχάλης (Μίχαλος)|13/08/2023| Όσοι διχόνοιες θρέφουνε μας θέλουν χωρισμένους., Κανείς οχτρός δε νίκησε Έλληνες ενωμένους 
19742|['Δάκρυα']||19/06/2023| Όντε γελά, γελω κι εγώ μα αν τύχει και δακρύσει,, ντελόγω σφίγγεται η καρδιά σα (μ)πως θα σταματήσει.. 
19710|['Δάκρυα']|Καλλέργης Κώστας|05/06/2023| Να χε πουλιέται στην οκά δυό τάλιρα το δάκρυ, πολλά εκατομμύρια θα'χα κι εγώ στην άκρη 
19433|['Δάκρυα']|Ειρήνη Βαμβασάκη|01/09/2022| Στην άμμο γράφω σ'αγαπω στη θάλασσα στο λέω, μα όντε φταξω στη στεριά αμοναχη μου κλαίω 
