id|topics|author|date|text
21038|['Διάφορες']||26/04/2025| Κράτησε την άξια μου που σου'δωκα και ζήσε, να λες σε τούτη τη ζωή κάτι κι εσύ πως είσαι 
21035|['Διάφορες']|Γαβαλά Εύα|26/04/2025| Ως τα βαθιά γεράματα κι ας μη τα ζω μαζί σου,, θα'χω χαρές μικρού παιδιού στη κάθε αθιβολή σου 
21031|['Διάφορες']|Απόστολος Βόμπρας|26/04/2025| Τα λάθη μου θα τα μετρώ γιατί απ' αυτά μαθαίνω,, και θα απαντώ κάθε φορά πως δεν καταλαβαίνω 
21025|['Διάφορες']|Απόστολος Βόμπρας|24/04/2025| Μόνο μιά σφαίρα σου μπορεί να με γκρεμίσει χάμε,, και της καρδιά μου την πληγή για πάντα να θυμάμαι 
21017|['Διάφορες']|Απόστολος Βόμπρας|24/04/2025|" Δεν έκλαψα για μένανε μα για τα ""αν"" που ζούσα,, που μέναν πάντα σιωπηλά ποτέ δεν θα πονούσα "
20972|['Διάφορες']|Χαιρέτης Aριστείδης (Γυαλάφτης)|01/02/2025| Η γυναίκα από τη φύση της πρέπει να μουρμουρίζει,, μα και ζωή χωρίς αυτή τίποτα δεν αξίζει 
20949|['Διάφορες']||20/12/2024| Εσύ γλεντάς τα νιάτα σου κι εγώ σε καμαρώνω,, κρίμα που γεννηθήκαμε κι οι δυό σε λάθος χρόνο 
20941|['Διάφορες']|Σαββόπουλος Λευτέρης|20/12/2024| Κι αν έκανα υπομονή για να βρω ισορροπία, μονάχα εσάς ευχαριστώ Χριστέ και Παναγία 
20938|['Διάφορες']|Σαββόπουλος Λευτέρης|20/12/2024| Δεν με ζυγώνουν οι χαρές που γρήγορα ξεχνιούνται, κρύβεται μια παντοτινή μέσα μου και φοβούνται 
20933|['Διάφορες']|Αλεφραγκής Μηνάς|08/12/2024| Ωρες που τρέχει το μυαλό χαμένο μες στις σκέψεις, παίρνω χαρτί και ένα στιλό και γράφω τες με λεξεις 
20927|['Διάφορες']|Μητσακάκης Μανώλης|17/11/2024| Ο χρόνος είναι ικανός γιαυτό του δίνω χρόνο..., αυτός κατέχει να μου πει ήντα θα κάνω μόνο 
20805|['Διάφορες']|Ερατεινος Αγγελος|13/07/2024| Κάτσε να λογαριάσουμε, την γλύκα του φιλιού σου, που στα κλεφτά δοκίμασα κι έγινα του χεριού σου 
20804|['Διάφορες']||06/07/2024| Δύο λεπτά παράταση θέλω να σου ζητήσω, πριν φύγεις κάτσε κι άκου με κ'ύστερα θα σ'αφήσω 
20799|['Διάφορες']||06/07/2024| Σημάδια αφήνουν τα φιλιά γι'αυτό και δεν τα θέλω, εκτός αν είναι απ'αυτά τα χείλια των κοπέλω 
20758|['Διάφορες']||04/06/2024| Γραμπούσα, μαύρα να ντυθείς σαν αποθάνει ο Τζέγκας,, εκειός απού σε ψάρευε, εκειός απού σε γλέντα 
20757|['Διάφορες']|Τσέγκας (Τζέγκας) Νίκος|04/06/2024| Μπαρμπούνι μου θαλασσινό και κόκκινό μου ψάρι,, εγώ 'μαι που σε ψάρεψα κι άλλος δε θα σε πάρει 
