id|topics|author|date|text
20911|['Επίκαιρες']|Γιώργος Μπιλανακης|31/10/2024| Όποιος πιαστεί για εμπρησμό, μία του πρέπει λύση,, σ'άνυδρο τόπο κι έρημο αμοναχός να ζήσει 
20888|['Επίκαιρες']|Καλλέργης Κώστας|11/10/2024| Ύφεση, πάθη, τρόικα, Έλληνα πως παλεύεις,, σαν τον Χριστό σου 'χουν σταύρο τον Γολγοθά ν'ανέβεις 
20819|['Γνωμικές', 'Επίκαιρες']|Γιώργος Μπιλανακης|03/08/2024| Τ'αληθινό μετάλλιο τ'αξίζουν οι ανθρώποι,, από στο στίβο τσ'ανθρωπιάς βγαίνουμε πάντα πρώτοι 
20762|['Επίκαιρες']|Κουκλινός Αντώνης|14/06/2024| Στα σπίθια ελουφάξαμε, ίσαμε να περάσει,, το κύμα με τον καύσωνα, να ξαναδροσουλιάσει 
20759|['Επίκαιρες']|Μητσακάκης Μανώλης|09/06/2024| Το νου σας πρέπει να 'χετε στην κάλπη άμα πάτε,, παράπονα μην κάνετε, ύστερα, πως πεινάτε 
20753|['Επίκαιρες']|Μητσακάκης Μανώλης|04/06/2024| Μπροστά στην κάλπη σαν βρεθείς, σκέψου πριν να ψηφίσεις, πως δεν σου φτάνουν τα λεφτά του μήνα, για να ζήσεις 
20594|['Επίκαιρες']|Μητσακάκης Μανώλης|29/02/2024| Για εσάς απού τελείωσε στα Τέμπη η ζωή σας,, κρατώ ενός λεπτού σιγή για την ανάμνησή σας 
20585|['Επίκαιρες']|Γιώργος Μπιλανακης|27/02/2024| Εγώ 'μαθα μαμά-μπαμπά στα παιδικά μου χρόνια, και δεν θα με αλλάξουνε τα λόμπι και τα πιόνια 
20536|['Επίκαιρες']|Μητσακάκης Μανώλης|04/02/2024| Ένα τοστάκι είν'αρκετό ο κάθα εις να τρώει,, αρκεί να ζει μες στη χλιδή όλο το σκυλολόι 
20183|['Επίκαιρες']|Μητσακάκης Μανώλης|13/12/2023| Τρεις σκύλοι κατασπάραξαν δυό κοπελιών τη μάνα., Στα ορφανά ήντα θα πουν οι σκυλολάτρες; ...Πράμα! 
20161|['Επίκαιρες']||03/12/2023| Η ψήφος είναι ιερή του καθενός ανθρώπου, και πρέπει να τη δίνουμε για το καλό του τόπου. 
