id|topics|author|date|text
20745|['Σεβντάς', 'Φεγγάρι']|Μαλακούρα Βασιλεία|03/06/2024| Φεγγάρι κάθε αργαδινή σαν βγαίνεις στο σεργιάνι, πες μου όντε θα τον δεις ο πόνος μου να γιάνει 
20721|['Ερωτας', 'Φεγγάρι']|Καρνιαδακης Μανολης|21/05/2024| Πες μου αν είναι με άλλονε φεγγάρι να το ξέρω,, να πάψω μπλιό για μιά φιλιά ψεύτικη να υποφέρω 
20720|['Φεγγάρι']|Καρνιαδακης Μανολης|21/05/2024| Φεγγάρι δώσ'μου αναφορά που είναι και τί κάνει., Mε σκέφτεται ή άλλονε στην αγκαλιά της βάνει; 
20649|['Φεγγάρι']|Μαλακούρα Βασιλεία|21/04/2024| Κι απόψε μελαγχολικό επρόβαλλες φεγγάρι,, γιατί τον είδες 'πο ψηλά στην αγκαλιά την άλλη 
20408|['Αστέρια', 'Ερωτας', 'Φεγγάρι']|Μεσσαριτάκη Μάνια|12/01/2024| Με τα παιδιά του φεγγαριού μαλώνω μακριά σου,, τ’ άστρα, που δεν ξεδείλιαναν τσ’ ευχές του έρωτά σου 
20303|['Φεγγάρι']|Ερατεινος Αγγελος|02/01/2024| Φεγγάρι μου, τα σχήματα αλλάζεις κάθε τόσο, κι εγώ με την πανσέληνο φιλί ποθώ να δώσω 
20192|['Φεγγάρι']||17/12/2023| Ανε ποθάνω και δε βρω τρόπο να σου μιλήσω, του φεγγαριού παραγγελιά τί να σου πει θ'αφήσω 
20099|['Φεγγάρι']||17/11/2023| Σιγά-σιγά τα μάθια μου με τρόπο τα σηκώνω, και βλέπω την παρέα μας και την 'ποκαμαρωνω 
20021|['Φεγγάρι']||29/09/2023| Φαντάσου φως μου την καρδιά στου φεγγαριού τη θέση, πες μου εσύ πως μ'αγαπάς και θα το δεις να πέσει 
19996|['Φεγγάρι']|Σταυρακάκης Γιώργης (Μιχαλόμπας)|13/09/2023| Και το φεγγάρι φαίνεται έρωτας πως το πιάνει,, και βγαίνει μελαγχολικό πολλές φορές σεργιάνι. 
19993|['Φεγγάρι']|Σταυρακάκης Γιώργης (Μιχαλόμπας)|13/09/2023| Γιάντα φεγγάρι του σεβντά σταλιά νερό δεν έχεις,, που σε θυμούμαι άλλες χρονιές μερόνυχτα να βρέχεις. 
19992|['Φεγγάρι']|Σταυρακάκης Γιώργης (Μιχαλόμπας)|13/09/2023| Φεγγάρι μου τα δάκρυα παίρνε στον μισεμό σου,, και ρίχνε τα ψιλή βροχή όντε τη δεις ομπρός σου. 
19919|['Φεγγάρι']|Βογιατζακη-Ντουζα Μαρια|03/09/2023| Είσαι φεγγάρι λαμπερό ...πανσέληνος απόψε,, όλα τα'χεις φεγγάρι μου γι'αυτό τ'ασχημα διώξε 
19912|['Φεγγάρι']|Βογιατζακη-Ντουζα Μαρια|03/09/2023| Φεγγάρι, φεγγαράκι μου, που στα ψηλά φωτίζεις, όμορφα τη βραδιά αυτή να την καληνυχτίζεις 
19906|['Φεγγάρι']||03/09/2023| Φέξε φεγγάρι μου να βρω, δρόμο για την καρδιά του., Φέξε γιατί κουράστηκα με την κακοτροπιά του 
