id|topics|author|date|text
21023|['Φιλία']|Απόστολος Βόμπρας|24/04/2025| Πολλούς ανθρώπους στην ζωή συνάντησα τυχαία,, και 'γίναν οι καλύτεροι φίλοι μου για παρέα 
21013|['Φιλία']|Απόστολος Βόμπρας|24/04/2025| Ο φίλος ειν' ο θησαυρός που η ζωή σου φέρνει,, και δίπλα σου στα δύσκολα τον πόνο σου να παίρνει 
20965|['Φιλία']|Φραγκούλης Μιχάλης|18/01/2025| Δεν θέλω γύρω μου πολλούς λίγοι καλοί και ντρέτοι,, και πρίχου σείρω τη φωνή να στένουνε το μπέτι 
20903|['Φιλία']||20/10/2024| Σε φίλους πάντα αυστηρός να'σαι στσί επιλογές σου,, αυτοί θα σε στηρίξουνε στις δύσκολες στιγμές σου 
20726|['Φιλία']||24/05/2024| Φιλία μεταξύ αντρών σαν είναι μπιστεμένη, πολλές φορές μια κουμπαριά ποιό δυνατά τη δένει 
20714|['Προσωπικές', 'Φιλία']||14/05/2024| Ποτέ μου δεν εχώστηκα πίσω που το δαχτύλι, κι αν έχω εχθρούς που με μισούν 'γαπούνε με οι φίλοι 
20693|['Φιλία']||04/05/2024| Καλιά 'χω φίλους καρδιακούς κι ας είναι δυό νομάτοι, παρά από χίλιους ψεύτικους τις μαχαιριές στην πλάτη 
20660|['Φιλία']|Καρνιαδακης Μανολης|28/04/2024| Οι φίλοι οι πραγματικοί στα ζόρια θα φανούνε, για μια φιλία μπιστική όλους τσι πολεμούνε 
20571|['Φιλία']|Μπράτης Πέτρος|24/02/2024| Διάλεγε τους φίλους σου να είναι όλοι διαμάντια, να λάμπετε όλοι μαζί τα βράδια στα σκοτάδια. 
20546|['Φιλία']||09/02/2024| Δεν τσι ξεχνώ τους φίλους μου κι ας είναι μακριά μου, απόσταση κι αν έχουμε γι'αυτούς χτυπά η καρδιά μου 
20498|['Φιλία']||28/01/2024| Ο πλουσιότερος τση γης είμαι και το πιστεύω,, γιατί 'χω φίλους που'ρχονται κάθε που τσι γυρεύω 
20253|['Φιλία']|Γιώργος Μπιλανακης|25/12/2023| Καλιά τον τίμιο εχθρό και ας κρατά και ξύλο, παρά τον ψεύτη κόλακα που λογαριάζεις φίλο 
20211|['Φιλία']|Γιώργος Μπιλανακης|23/12/2023| Τον φίλο τον αληθινό θα τονε δεις στην μπόρα, οι υπόλοιποι `ναι για καφέ και να περνά η ώρα 
20209|['Φιλία']|Γιώργος Μπιλανακης|23/12/2023| Τι να τα κάμω τα υλικά δώρα του Αι Βασίλι, στσοι φίλους το χαμόγελο να ξαναδώ στα χείλη 
