id|topics|author|date|text
20449|['Αστέρια', 'Γάμος & Βάπτιση']|Μπράτης Πέτρος|21/01/2024| Δυο περιστέρια κάθονται στης νύφης την ταράτσα, την περιμένουνε να'ρθεί ώσπου ν'ανάψουν τ'άστρα 
20434|['Γάμος & Βάπτιση']|Μπράτης Πέτρος|18/01/2024| Αγόρασά σου νυφικό ωραίο, που σου ταιριάζει., Θα γίνεις νύφη όμορφη, ο κόσμος να θαυμάζει 
20356|['Γάμος & Βάπτιση']||07/01/2024| Έπιασε η νύφη στο χορό και κάμετε τση τόπο,, σαν περιστέρα φαίνεται στη μέση των ανθρώπω 
19563|['Γάμος & Βάπτιση']|Ερατεινος Αγγελος|22/01/2023| Σε χρυσικό παράγγειλα στεφάνι της Βεργίνας, μ' άνθη να σε βρει της μυρτιάς του μέλιτος ο μήνας 
18225|['Γάμος & Βάπτιση']||06/08/2020| Η κουμπαριά ετούτηνε βαθιά 'χει σημασία, γιατί την κάνει άνθρωπος με ήθος και αξία 
18224|['Γάμος & Βάπτιση']||06/08/2020| Άνοιξε πόρτα τσ'εκκλησάς, πόρτα του παραδείσου, να κατεβούν οι άγγελοι τη νύφη να βλογήσουν 
18223|['Γάμος & Βάπτιση']||06/08/2020| Εσύ 'σαι διαφορετική απ'τα λουλούδια όλα,, γι'αυτό να πάρεις μερακλή να σου ταιριάζει, βιόλα 
18222|['Γάμος & Βάπτιση']||06/08/2020| Χριστέ μου πως ταιριάζουνε τα ρόδα με τα κρίνα, άντρα να πάρεις μερακλή γιατί 'σαι μερακλίνα 
18221|['Γάμος & Βάπτιση']||06/08/2020| Ανοίξετε την πόρτα σας να δείτε το γαμπρό μας, τέτοιο σγουρό βασιλικό δεν έχει το χωριό μας 
18220|['Γάμος & Βάπτιση']||06/08/2020| Νύφη εκειά απού θα πας στ'ανώγια, στα κατώγια, την πεθερά σου ν'αγαπάς και να'χεις λίγα λόγια 
18219|['Γάμος & Βάπτιση']||06/08/2020| Όσες λεπτές τρυπηματιές έχει το νυφικό σου, τόσα καλά και αγαθά να μπουν στ'αρχοντικό σου 
18218|['Γάμος & Βάπτιση']||06/08/2020| Απ'όταν εγεννήθηκες σου λεν και στα δικά σου, σηκώ γαμπρέ και κάμε το το ζάλο της χαράς σου 
18013|['Γάμος & Βάπτιση']||18/05/2020| Ο λόγος μου συμβόλαιο και θα τονε κρατήσω, και τη ζωή μου απ'την αρχή μαζί σου θα τη ζήσω 
