id|topics|author|date|text
20423|['Ηλιος']|Ερατεινος Αγγελος|14/01/2024| Του κόσμου φωτοστέφανο, ήλιος π' ανηφορίζει, δεν ξέρει ποιος τον ξύπνησε και ποιος θα τον κοιμίσει 
20148|['Ηλιος']||02/12/2023| Όπως ο ήλιος το πρωί δίνει χαρά στη μέρα, έτσι γελά και η καρδιά μ'αγάπης καλημέρα 
19569|['Ηλιος']|Ερατεινος Αγγελος|04/02/2023| Ήλιος είσαι της μέρας μου, της νύχτας παραμύθι, αρχή και τέλος μην ζητάς μ' ανατολή και δύση 
19456|['Ηλιος']|Φωτεινή Δρυμισκιανάκη|13/09/2022| Ήλιε μου ταξιδιάρικε στάσου να σε ρωτήσω, σε ποιο πλανήτη αγαπούν να πάω εκειά να ζήσω 
19315|['Ηλιος']||18/05/2022| Ήλιε, γοργά βασίλεψε, φύγε, να σκοτεινιάσει,, στο όνειρο πάλι να ‘ρθει να με σφιχταγκαλιάσει 
19243|['Ηλιος']|Μιχάλης Κόκκινος|09/03/2022| Η μόνη αφορμή κανείς τον ήλιο να ζηλεύει, είναι που με τσ'ακτίνες του μπορεί και σε χαϊδεύει 
19040|['Ηλιος']|Κουνάλης Μιχάλης|01/12/2021| Να'ταν ο ήλιος χαμηλά να τονε ξεκρεμάσω,, να τονε φέρω χαμηλά στη πόρτα να σου λιάσω 
18954|['Ηλιος']|Σταυρακάκης Μήτσος|04/11/2021| Ήλιε μου, κοσμογυρευτή, στάσου, καμάρωσέ τη, κι όσο μπορείς πιο τρυφερά, αχτινοχάιδεψέ τη. 
18644|['Ηλιος']|Ερατεινος Αγγελος|03/06/2021| Ήλιος από τα μάτια σου τον ίσκιο μου καρφώνει, γίνομαι ένα με το φως, που πάνω του απλώνει 
18632|['Ηλιος']|Άμπη Σαβοΐδάκη|29/05/2021| Ο ήλιος του καλοκαιριού χωρίς εσένα μοιάζει,, σύννεφο μαύρο του χιονιά που κουβαλεί χαλάζι 
