id|topics|author|date|text
18875|['Κατάρες']|Ζαχαρίας Φασουλάς|15/10/2021| Εγάπουνά τη κι έλεγα, αέρας μην τσ'αγγίξει, μα εδά φωνάζω να βρεθεί ποτάμι να την πνίξει 
18160|['Κατάρες']|Κυρίτση Φωτεινή|16/07/2020| Κάτσε εκιά ντελικανή γύρευε τη δουλειά σου, και μη σιμώνεις πιο κοντά θα εύρεις το μπελά σου. 
17526|['Κατάρες']|Χρυσινα Κατερινα|15/03/2020| Το σ'αγαπω μου να γενει φωτια και να σε καψει, εαν τυχει φως μου καποτε αλλη να σ'αγκαλιασει 
16897|['Κατάρες']|Χρονέας Νικόλαος|18/04/2018| Όποιος στη λύπη χαίρεται χαρά να μη γνωρίσει, όλα στραβά να του'ρχονται απ'την αυγή ως τη δύση 
16784|['Κατάρες']|Γιωργης Αντωνοδημητρακης|15/12/2017| Κανεις δεν ιβρισε ποτε το σοι μου ακομα, και οποιος το δοκιμασε εβρεθηκε στο χωμα. 
16261|['Κατάρες']|Σάμιος Θοδωρής|11/10/2016| Αφού 'χασα τσ'ελπίδες μου πώς πίσω δε γυρίζεις, άμε στο γέρο διάολο για να μη μου θυμίζεις. 
16017|['Κατάρες']|Χειμωνεττος Σταματης|19/06/2016| Μωρό μου που'φυγες μακριά σε ανατολη και δύση, όπλο να βρεις στο δρόμο σου σκάγια να σε γεμισει 
15803|['Κατάρες']|Καρανδινακη Ε Ευγενία|12/09/2015| Αμα δεν είμαι εγω αυτή που τση κρατάς το χέρι, εύχομαι να μην ξαναβρείς ποτέ σου άλλο ταίρι 
14921|['Κατάρες']|Χειμωνεττος Σταματης|07/12/2014| Εφτα μερες μου ποτιζε η σκυλα τα φαρμακια, που να 'ναι εφτα οι ωρες της και αυτες με σωληνακια 
14801|['Κατάρες']|Μαρκετάκης Στέλιος|07/12/2014| Η μάνα σου 'ταν αφορμή που να τη φαν' οι λύκοι, και που να κάνουνε συρμό απάνω τζη σκουλήκοι 
14800|['Κατάρες']|Μαρκετάκης Στέλιος|07/12/2014| Ανάθεμα τη μάνα σου τη γρα τη ζαρωμένη, που δε μ' αφήνει να σε 'δω μια ώρα στολισμένη 
14799|['Κατάρες']|Μαρκετάκης Στέλιος|07/12/2014| Ανάθεμα τη μάνα σου την αγριοχαρούπα, που δε μ' αφήνει να σε 'δω με τα καινούργια ρούχα 
14773|['Κατάρες']|Μαρκετάκης Στέλιος|07/12/2014| Ευλοημένο το στενό απού σε φανερώνει, και να χαλάσ' ο ρούκουνας απού σ' αποκωλώνει 
14757|['Κατάρες']|Βασσάλος Γιάννης|07/12/2014| Κοιμούμαι κι ονειρεύομαι φωνάζω τ'ονομά σου, δεν έρχεσαι και λέω σου διαόλοι στην κοιλιά σου 
14176|['Κατάρες']|Γιώργος. Τάγκαλος.|14/06/2014| Επαναστάτης θα γενώ και φίλος με το Χάρο, τρόπο δε βρίσκω άλλονε μαζί μου να σε πάρω. 
