id|topics|author|date|text
19541|['Κορονοϊός']|Στελλα Δερμιτζακη|19/12/2022| Άλλο δεν τηνε μπορώ τούτη την καραντίνα, κι όπως μου φαίνεται θα πιω ουίσκια μια ντουζίνα 
19011|['Κορονοϊός']|Διαμαντής Στέλιος|01/12/2021| Δε βγαίνω να μαζώξω ελιές, μπλιο δεν τσοι νταγιαντίζω, γιατί 'ναι κορωναίϊκες ...φοβάμαι μην κολλήσω 
19007|['Κορονοϊός']||01/12/2021| Την τρίτη δόση έκαμα κι όπου το βγάλει η βράση,, για που θα σάσει μια δουλειά γή που θα σοχαλάσει. 
18483|['Κορονοϊός']|Κυρίτση Φωτεινή|09/01/2021|" Ωσάν το άστρο του Ουρανού ας λάμψει η Ελπίδα, να ξεπεράσουμε όλοι μαζί αυτήν την ""καταιγίδα"". "
18450|['Κορονοϊός']|Γιώργος Ζερβάκης|09/01/2021| Ανάθεμα τσ' αρρώστιες που μας ήρθαν απ' την Κίνα, και δεν θωρρώ τα μάτια σου που είναι σαν τα κρίνα 
18440|['Κορονοϊός']|Κυρίτση Φωτεινή|21/11/2020| Θα πρότεινα να 'ρχοσουνα μια βόλτα στην Αθήνα, μα να που μας ετσάκωσε η ρημάδα, η καραντίνα. 
18396|['Κορονοϊός']|Βασιλακης Κωνσταντινος|11/10/2020| Θελω να ειμαι σπιτι σου να πιασει καραντινα, να με 'χεις μουσαφιρη σου σιγουρα ενα μηνα 
18390|['Κορονοϊός']|Βασιλακης Κωνσταντινος|11/10/2020| Η μονη κοντρα που μπορεις του κορονοιου να κανεις, ν' αφησεις μασκες και γιατρους και τσι ρακες να πιανεις 
18335|['Κορονοϊός']|Γαγάνης Γιώργος|25/09/2020| Μάσκες δε ντο περίμενα στη μούρη κι όμως το’δα., Μπούρκα φοβούμαι πως θα δω φέτος στην νέα μόδα 
18068|['Κορονοϊός']||28/05/2020| Όφου και δεν έρχεται πιό γρήγορα ο καύσος, να ψήσει τον κορωνοϊό απούχει τόσο θράσος 
17969|['Κορονοϊός']|Ερατεινος Αγγελος|18/05/2020| Ειν' ιοβόλο το κεντρί που μας περιορίζει, αγέλαστη η μάσκα του κι ο ήλιος την φοβίζει 
17864|['Κορονοϊός']||02/05/2020| Όποιος την πίνει τη ρακή, πράμα δεν το παθαίνει,, ακόμα και τον κορονοϊό στο διάολο τον στέλνει 
17852|['Κορονοϊός']||29/04/2020| Αφού μια μάσκα απαιτούν όπου κι αν πάω να βάνω,, ε, τότε θα ντυθώ Ζορό, την πλάκα μου να κάνω 
17830|['Κορονοϊός']|Κυρίτση Φωτεινή|21/04/2020| Η έκπληξη μου έκδηλη που βρέθηκαν λουλούδια, κι εν μέσω κορωνοιού με γέμισες καλούδια. 
17819|['Κορονοϊός']|Φαναριτης Χρηστος|15/04/2020| Μας λείπαν και πονούσαμε ανθρώποι πεθαμένοι.., Μα να μη σμίγουν ζωντανοί πρώτη φορά εγένη 
17818|['Κορονοϊός']||15/04/2020| Και με κλειστές τις εκκλησιές θα κάμω το σταυρό μου, και δεν θα πάψω να τιμώ, Ιησού Χριστό, θεό μου 
