id|topics|author|date|text
20995|['Κρήτη']|Γιώργος Λινοξυλάκης|29/03/2025| Μαυρομαλλούσα κολυμπά σαν την θεά Αφροδίτη,, στσι Μεσογείου τα νερά και τηνε λένε Κρήτη. 
20824|['Κρήτη']|Μαθιουδάκης Γιάννης|05/08/2024| Μπορώ να πω με σιγουριά ...και έχω κι αποδείξεις,, πως σαν την Κρήτη ομορφιές αλλού δε θα παντήξεις 
20685|['Κρήτη']|Ελένη Κολιακουδάκη|03/05/2024| Η αγάπη μου παντοτινή για το νησί της Κρήτης, γιατί κρατεί ότι αγαπώ κι 'ναι ιερή η γη της 
20657|['Κρήτη']|Μαλακούρα Βασιλεία|21/04/2024| Την ομορφιά σου Κρήτη μου ανθρώπου νους δεν βάνει,, γιατί είσαι η πιο μαγευτική στο κόσμο απου υπάρχει 
20603|['Κρήτη']|Γιώργος Μπιλανακης|29/02/2024| Δυό ώρες ήκαμε ο θεός να φτιάξει τον πλανήτη, και στσ'άλλες που του μείνανε, εσκάλισε την Κρήτη 
20524|['Κρήτη']||04/02/2024| Θε μου και να με κάνανε του κόσμου κυβερνήτη,, πρωτεύουσα θα έκανα απανταχού την Κρήτη 
20496|['Κρήτη']|Γιώργος Μπιλανακης|28/01/2024| Το πιο ωραίο κόσμημα σε όλο τον πλανήτη,, το'χει σκαλίσει ο Θεός και το φωνάζει Κρήτη 
20170|['Κρήτη']||10/12/2023| Τιμή μου και καμάρι μου τση Κρήτης να'μαι θρέμα, μεσ' στο κορμί μου να κυλά το Κρητικό το αίμα 
20123|['Κρήτη']|Λιοντάκης Μιχάλης|18/11/2023| Δεν είναι η Κρήτη ένα νησί, δεν είναι απλώς μια χώρα,, είναι ο παράδεισος της γης ...μα τί να λέμε τώρα! 
20120|['Κρήτη']|Περάκης Παναγιώτης|18/11/2023| Εμείς στην Κρήτη το'χουμε με λόγια να μιλούμε, μα όποιος δε μας σέβεται 'χάμε τονε πατούμε 
20105|['Κρήτη']|Μανώλης Τιτάκης|17/11/2023| Κνωσός... του κόσμου είσαι φως, τση Κρήτης το καμάρι., Ποιός από τα σε πολιτισμό θα πει δεν έχει πάρει 
20085|['Κρήτη']||11/11/2023| Κρήτη πατρίδα του Διός, Κρήτες καλή σας ώρα,, από ψηλε τηνε φρουρώ τ'Αγιού Μηνά τη χώρα 
19956|['Κρήτη']||08/09/2023| Ακόμα και τα σύννεφα πήρανε τη μορφή σου, δοξάζουνε μαζί και αυτά Κρήτη μου την τιμή σου 
19948|['Κρήτη']||08/09/2023| Μέρα και νύχτα τραγουδεί η Κρήτη και γλεντίζει, και με τα μερακλίκια τζη ούλη τη γη στολίζει 
19810|['Κρήτη']||09/08/2023| Φαίνεται ότι και οι θεοί σαν έχουνε σεβντάδες,, στη Κρήτη κατεβαίνουνε κι ακούνε μαντινάδες 
