id|topics|author|date|text
16705|['Κύπρος']|Αλεξανδρα Χαλκιαδακη|15/12/2017| Δύο καρποί πο' ένα δεντρί του παραδείσου κόρες, Κρήτη και Κύπρος ζηλευτές σ'όλης τση γης τις χώρες 
15229|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Ακόμα είσ'αισιόδοξη, πως θα τα καταφέρεις,, την λευτεριά απού ποθείς, στον τόπο μας να φέρεις. 
15228|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Μικρό νησάκι, μα ψυχή, έχεις λεοντραρίσια,, οι Κύπριοι σου πολέμησαν, τσ'οχτρούς σου εις τα ίσια. 
15227|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Χρόνια εσύ που πρόσμενες, να δεις τη λευτεριά σου,, μ'ακόμα αιχμάλωτα έχουνε, οι Τούρκοι τα παιδιά σου. 
15226|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Κύπρος μου όμορφο νησί, Κύπρος μου πονεμένη,, που χρόνια τώρα σ'έχουνε, οι Τούρκοι μοιρασμένη. 
15181|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Η Κρήτη πίνει τη ρακή, κι η Κύπρος ζιβανία,, η μία δίνει τη χαρά, κι η άλλη ευτυχία. 
15158|['Κύπρος']|Ανδρέου Μαρίνα|13/02/2015| Περήφανο Κυπριόπουλο, είμαι και το φωνάζω,, Κύπρο και Κρήτη αγαπώ, καμμία δεν αλλάζω. 
15000|['Κύπρος']|Ανδρέου Μαρίνα|22/12/2014| Είναι αδέλφια δίδυμα η Κύπρος με την Κρήτη, η μια 'χει Πενταδάκτυλο κι η άλλη Ψηλορείτη 
14226|['Κύπρος']|Κυριακου Μαριος|14/06/2014| Στο λιμανάκι των Χανιων το μάτι μου δακρύζει., Την σκλαβωμένη κι όμορφη Κερύνεια μου θυμίζει. 
14218|['Κύπρος']|Κυριακου Μαριος|14/06/2014| Την Κυπρο μου την αγαπω μα σαν πεθανω θελω,, στην Κρητη να με θαψετε μα τοσο την λατρευω. 
14217|['Κύπρος']|Κυριακου Μαριος|14/06/2014| Ταξίδι εξεκίνησα στο Αρκάδι για να πάω,, τη Φλόγα της Ελευθεριάς στην Κύπρο θα την πάρω. 
14216|['Κύπρος']|Κυριακου Μαριος|14/06/2014| Να 'ταν ο Πενταδάκτυλος κορφή του Ψηλορείτη,, και να 'ταν μονο ένα νησί η Κύπρος και η Κρήτη. 
13402|['Κύπρος']|Ανδρέου Μαρίνα|03/04/2012| Κύπρος και Κρήτη δίδυμες, η μία με την άλλη,, κι άμα πονά η μια απ'τις δυό, πονάει και η άλλη. 
11628|['Κύπρος']|Κληρίδης Μάμας|30/11/2009| Από την Κύπρο ξεκινώ στη Κρήτη για να πάω, θέλω να 'δώ τούς φίλους μου που τόσο αγαπάω 
11627|['Κύπρος']|Κληρίδης Μάμας|30/11/2009| Η Κρήτη με την Κύπρο μας είναι σαν αδελφάδες, στη Κύπρο λέμε τσιατιστά στη Κρήτη Μαντινάδες 
10798|['Κύπρος']|Μεμνος Αλκιβιαδης|11/04/2009| Κυπρος και Κρητη αδερφες το γραφει η ιστορια, και δινει παντα τσ' αφορμη η σκύλα η Τουρκια 
