id|topics|author|date|text
21011|['Λεβεντιά']|Απόστολος Βόμπρας|24/04/2025| Το μόνο πράμα στην ζωή και στην ψυχή μου μέσα, πάντοτε είν' ο σεβασμός, η αντρειά, και η μπέσα 
20994|['Λεβεντιά']|Γιώργος Ταχμιτζάκης|29/03/2025| Στα ύψη πέμπει ο κρητικός του έθνους την σημαία., Είναι μεγάλη η τιμή να την κρατά στην χέρα 
20905|['Γνωμικές', 'Θάνατος', 'Λεβεντιά']||20/10/2024| Μες στο ταξίδι της ζωής η έγνοια σου η μεγάλη,, να πας με καθαρή ψυχή για τη ζωή την άλλη 
20760|['Λεβεντιά']||11/06/2024| Άντρας λογάται μ’αντρειά, εκείνος που σηκώνει,, μέχρι να ζει τον σεβασμό και δεν τονε λερώνει 
20730|['Γνωμικές', 'Λεβεντιά']|Περάκης Παναγιώτης|24/05/2024|" Ρώτησα έναν μερακλή: ""η ανθρωπιά πουλιέται;"", και 'κείνος μου απάντησε: ""δε δίνεται... γεννιέται"" "
20729|['Λεβεντιά']||24/05/2024| Άντρας απου 'ναι ταπεινός ειλικρινής με ήθος,, πάντοτε θα φεγγοβολά ανάμεσα στο πλήθος 
20675|['Λεβεντιά']|Μανώλης Τιτάκης|28/04/2024| Ο μερακλής ο άνθρωπος φαίνεται, δίχως άλλο,, απ'την καλή του την καρδιά κι απ'του χορού το ζάλο 
20674|['Λεβεντιά']|Γιώργος Μπιλανακης|28/04/2024| Τιμή, αξιοπρέπεια και ταπεινό το ζάλο,, αυτά τα τρία κάνουνε τον άνθρωπο μεγάλο 
20668|['Λεβεντιά']|Μαλακούρα Βασιλεία|28/04/2024| Απου'χει ρίζες δυνατές δεν τον εσκιάζει πράμα, γιατί κρατά αυτός ψηλά των πρόγονων τα ζάλα 
20601|['Λεβεντιά']||29/02/2024| Όντε γερνούν οι αετοί ψηλότερα πετούνε., Η λεβεντιά κι η λευτεριά, παντοτινά θ'ανθούνε 
20589|['Γνωμικές', 'Λεβεντιά']||27/02/2024| Η λεβεντιά θέλει ψυχή, η καλοσύνη τρόπους,, για να λογάσαι δυνατός ανάμεσα στσ'ανθρώπους 
20588|['Γνωμικές', 'Λεβεντιά']||27/02/2024| Η πίστη θέλει υπομονή κι η ανθρωπιά θυσίες, για να σε λένε άνθρωπο ξεχωριστό μ'αξίες 
