id|topics|author|date|text
21022|['Μάτια']|Απόστολος Βόμπρας|24/04/2025| Τα μάτια είναι να θωρούν και χρήση έχουν μεγάλη,, γιατί θωρρούν το βλέμμα σου απου μου φέρνει ζάλη 
20966|['Βάσανα', 'Ζωή', 'Μάτια']|Τσατσακης Μιχαλης|19/01/2025| Αν δεις τα μάτια μου θολά μη με ρωτήσεις γιάντα,, γιατί 'ναι οι λύπες πιο πολλές απ'τσι χαρές μου... πάντα 
20871|['Αγάπη', 'Μάτια']|Σπαντιδάκη Δέσποινα|28/09/2024| Μάτια που δε μ'αρέσουνε ποτέ δεν τα κοιτάζω, εκτός όταν τη ζήλεια σου θέλω να δοκιμάζω 
20825|['Γνωμικές', 'Μάτια']|Γιώργος Μπιλανακης|05/08/2024| Όσο βαθιά μες στην ψυχή κι αν κρύψεις την αλήθεια, τα μάτια πάντα δείχνουνε τί κρύβεις μες στα στήθια 
20765|['Μάτια']||14/06/2024| Τα μάθια τα'χεις να θωρρείς κι ακόμα για μια χρήση..., για να μιλούν σα δε μπορεί το στόμα να μιλήσει 
20754|['Αγάπη', 'Μάτια']|Κωστογιαννάκης Αντώνης|04/06/2024| Στον αματιώ σου το ντουνιά πεθαίνω και γεννιούμε,, δεν ντρέπομαι που σ'αγαπώ, ούτε και δεν φοβούμαι 
20722|['Μάτια']|Πετρος Καλυβας|21/05/2024| Στα πράσινα τα μάτια σου όρκο βαρύ θα δώσω, το να ξανοίγω μόνο αυτά και δεν θα τα προδώσω 
20703|['Μάτια']|Μαλακούρα Βασιλεία|12/05/2024| Σ' ένα βλέμμα σου έκλεισε όλη η ζωή μου εμένα, όντες συναντήθηκανε τα μάθια μου με εσένα 
20701|['Μάτια']|Μαλακούρα Βασιλεία|12/05/2024| Τα μάθια σου είναι αφορμή κι ότι καιρό κι αν φέρει, διώχνουν μακριά τη χειμωνιά και μοιάζει καλοκαίρι 
20683|['Μάτια']|Πετρος Καλυβας|03/05/2024| Στα πράσινα τα μάτια σου εταχτηκα μικρή μου, να τα θωρώ παντοτινά μέχρι την κοίμησή μου 
20670|['Μάτια']|Κωστής Στρατάκης|28/04/2024| Ω τα παντέρμα μάθια τσι μια λάμψη απού τη βγάνουν, κι οντε θα με ξανοίξουνε σαν το τροζό με κάνουν 
20650|['Μάτια', 'Σεβντάς']|Ζαχαρούλα Βρυλάκη|21/04/2024| Να τα ξανοίγω πεθυμάς τα μάθια τα δικά σου, πως να γενεί που μαρτυρούν πως θένε το σεβντά σου 
20582|['Ερωτας', 'Μάτια']|Τζανακης Ζαχαρίας|24/02/2024| Τα μάτια σου με μάθανε το νόημα του κόσμου, πως δεν μπορώ να ζω εγώ χωρίς εσένα φως μου 
20581|['Μάτια']|Τζανακης Ζαχαρίας|24/02/2024| Τα χάνω όντε τα θωρώ τα δύο γλυκά σου μάτια., Τρελαίνομαι, θαμπώνομαι και γίνομαι κομμάτια 
20537|['Μάτια', 'Σεβντάς']|Χαρά Παπαδογιάννη|05/02/2024| Τα ματια του είναι σαν κερί που καίει και σιγολιώνει, τα μέσα μου κάθε στιγμή σα τη βροχή το χιόνι 
20435|['Αγάπη', 'Μάτια']|Μπράτης Πέτρος|18/01/2024| Τα μαύρα μάτια της μικρής τα θέλω, τα γυρεύω,, και μια ζωή ολόκληρη εγώ θα τα λατρεύω 
