id|topics|author|date|text
21008|['Μαύρα Ρούχα']|Μαλακούρα Βασιλεία|20/04/2025| Τα μαύρα ρούχα τα φορούν και όσοι αγαπούνε., Εκείνοι που βαθιά πονούν και δεν το μαρτυρούνε 
20655|['Μαύρα Ρούχα']|Μαλακούρα Βασιλεία|21/04/2024| Τη μοναξιά μου έντυσα με μαύρα ρούχα μόνο, για να σκεπάζω με αυτά τσ' αγάπης μας τον πόνο 
20482|['Μαύρα Ρούχα']|Χαρά Παπαδογιάννη|25/01/2024| Τα μαύρα ρούχα φόρεσα μα δεν πενθώ γι'αγάπη, πενθώ για εκείνα που'χασα απ'τα δικά σου λάθη 
20389|['Κρήτη', 'Λεβεντιά', 'Μαύρα Ρούχα']|Περάκη Δέσποινα|12/01/2024| Κρήτη θα πει πολιτισμός, ψυχή γεμάτη λαύρα,, και μια ντυμένη λεβεντιά πάντα με ρούχα μαύρα 
19976|['Μαύρα Ρούχα']|Μιχάλης Λιαπακης|13/09/2023| Τα μαύρα βανω στις χαρές τα μαύρα και στις λυπες, γιατί ποτέ σου σ'αγαπω μωρό μου δε μου είπες 
19454|['Μαύρα Ρούχα']|Σωστης Αντωνινης|13/09/2022| Για σένα το έχω το κορμι στα μαύρα βουτηγμένο, κ ας λένε οι περαστικοί πως πένθος περιμένω 
18880|['Μαύρα Ρούχα']|Ζαχαρίας Φασουλάς|15/10/2021| Τα μαύρα ρούχα ρέγομαι, τα χρώματα τα σκούρα,, μα να μην έχεις βάσανα, να τα'χεις για φιγούρα 
18879|['Μαύρα Ρούχα']|Ζαχαρίας Φασουλάς|15/10/2021| Να βγάλω θελώ απ'το κορμί, τα μαύρα θα πετάξω,, άσπρα να βάλω για να ιδώ, τη μοίρα μου αν θ'αλλάξω 
18543|['Μαύρα Ρούχα']|Συντιχάκης Μανώλης|16/04/2021| Μαύρα θα ράψω να φορώ μαύρα διαόλου ρούχα, γιατί με απαρνήθηκε η πρώτη αγάπη που'χα 
18250|['Μαύρα Ρούχα']||13/08/2020| Λένε τα μαύρα στο κορμί πως συμβολίζουν πόνο,, μα η αλήθεια φαίνεται από τα μάθια μόνο 
17545|['Μαύρα Ρούχα']|Μπούρας Τάσος|15/03/2020| Το μαύρο το πουκάμισο εγώ το 'χω βαμμένο, με δάκρυα απ'τα μάθια μου το έχω ποτισμένο 
17407|['Μαύρα Ρούχα']|Μηναδακη Κωσταντινα|26/02/2020| Εγώ τα μαύρα τα φορώ για σένανε και μόνο, και μου βαραίνει η καρδιά να σπαρταρά στο πόνο 
17403|['Μαύρα Ρούχα']|Μηναδακη Κωσταντινα|26/02/2020| Το μαύρο χρώμα τ'αγαπώ και ας μου δίνει πόνο,, γιατί θυμούμαι τσι καρδιάς το ζάλο κάθε χρόνο 
17080|['Μαύρα Ρούχα']|Γιάννης Τραντάς|05/04/2019| Δε βάνω χρώμα στο κορμί από το μαύρο άλλο, να δείχνω θέλω τση καρδιάς τον πόνο τον μεγάλο 
16967|['Μαύρα Ρούχα']|Σταματίου Βούλα|19/04/2018| Τα μαύρα ρούχα δεν μπορούν να δείξουνε τον πόνο, γιατί αυτός μες στην ψυχή κατασκηνώνει μόνο 
15197|['Μαύρα Ρούχα']|Ανδρέου Μαρίνα|13/02/2015| Τα μαύρα ρούχα δύναμη, και λεβεντιά σημαίνουν,, μα τα φορούν κι αυτοί οντές, πενθούν όσους πεθαίνουν. 
