id|topics|author|date|text
20957|['Μοίρα']||01/01/2025| Τσιγγάνα ασ' τη μοίρα μου και ότι γραμμένο έχει,, είναι καλιά καμιά φορά κανείς να μη κατέχει 
20823|['Μοίρα']|Ρουσάκης Δημήτρης|05/08/2024| Μαύρη κι αν είν' η μοίρα μου εγώ δε τη φοβούμαι,, θα βγαίνω πάντα στα ψηλά εκειά που αετοί πετούνε 
20750|['Μοίρα']|Κωστογιαννάκης Αντώνης|04/06/2024| Καυγά μου βάνει η μοίρα μου που ντρέτα δεν τση πηαίνω,, θέλει με αυτή γονατιστό μα 'γω ορθός πηγαίνω 
20599|['Αγάπη', 'Μοίρα', 'Ονειρα', 'Παράπονα']|Γιάννης Σαριδάκης (Μεσαρτογιάννης)|29/02/2024| Εγώ τσ'αγάπης όνειρα να κάνω έχω πάψει, αφού η μοίρα η σκληρή πάλι θα τα βουλιάξει 
20517|['Μοίρα']|Ρουσάκης Δημήτρης|03/02/2024| Στη γέφυρα του στεναγμού του πόνου μονοπάτι, με στέλνει πάλι να διαβώ τση μοίρας το γινάτι 
20504|['Μοίρα']|Χριστοδουλάκης Μανώλης (Κανόνης)|28/01/2024| Γελώ χωρίς να χαίρομαι, μα να γελάσω πρέπει,, αφού η μοίρα στσι χαρές δε μου το επιτρέπει 
20244|['Μοίρα']|Γιώργος Μπιλανακης|24/12/2023| Μιά ασκελιά να χρειαστείς ν' ανέβεις στο δετάρι, αν δεν σε θέλει η μοίρα σου θα 'ρθει να σου την πάρει 
20243|['Μοίρα']|Γιώργος Μπιλανακης|24/12/2023| Στείλε μου μοίρα μιά χαρά κι εγώ θα βρω τον τρόπο, να τηνε κάμω πρόσφορο να δώσω των ανθρώπω 
20234|['Μοίρα']|Γιώργος Μπιλανακης|23/12/2023| Ψηλά τσοι βάνεις τσοι χαρές μοίρα να μην τσοι φτάνω, μα γω θα κάμω σκαλωσά και θ'ανεβώ απάνω 
20222|['Μοίρα']|Γιώργος Μπιλανακης|23/12/2023| Σε τόπο δίχως σύννεφα να κάτσω θα χιονίσει, καθένας με την μοίρα του σ' αυτήν εδω την ζήση 
20212|['Μοίρα']|Γιώργος Μπιλανακης|23/12/2023| Στείλε μου μοίρα μιά χαρά κι ας είναι ένα ψιχάλι, να βρει μαγιά η ελπίδα μου να ξανανθίσει πάλι 
20156|['Μοίρα']||03/12/2023| Ευχαριστώ χρωστώ Θεού κι αμοναξας συγνώμη,, είχε η μοίρα τελικά άλλη για μένα γνώμη 
20135|['Μοίρα']||21/11/2023| Κάνω τή σκέψη μου κελί καί μέσα φυλακιζω, ότι μου απαγόρεψε η μοίρα νά τ'αγγιζω 
20113|['Μοίρα']||18/11/2023| Σκέφτομαι πάντα όντε πονώ τση μοίρας το λιοτρίβι, στ'αλώνι ντου πόσες ψυχές θραψαλισμένες κρύβει 
20048|['Μοίρα']|Δεμερτζιδης Θεόδωρος|29/10/2023| Η μοίρα το'θελε μαζί να γίνουμε ζευγάρι, χαλάλι για τα χρόνια πριν που πήγανε χαράμι 
20031|['Μοίρα']||12/10/2023| Κάνω τη σκέψη μου κελί και μέσα φυλακίζω, ότι μου απαγόρευσε η μοίρα να τ'αγγίζω 
