id|topics|author|date|text
21039|['Μοναξιά', 'Πάσχα']|Μπαντουράκης Αντώνης (Μπαντούρης)|26/04/2025|" Έκαμα με τη μοναξά ""Χριστός Ανέστη"" πάλι,, κι έσπασε η χέρα μου η μιά τ'αυγό που εκράθιε η άλλη "
21036|['Μοναξιά']|Γαβαλά Εύα|26/04/2025| Ξερό κλαδί τση μοναξάς, μα όντε θα 'ρθεις στο νου μου,, μοιάζω ολάνθηστου μπαξέ του πιο καλού καιρού μου 
20926|['Μοναξιά']|Μητσακάκης Μανώλης|17/11/2024| Πιο μόνος απ τη μοναξά καμιά φορά 'πομένω,, κι ότι αγαπούσα γίνηκε... όνειρο γκρεμισμένο 
20873|['Μοναξιά']|Σπαντιδάκη Δέσποινα|28/09/2024| Ποιές ώρες έχεις μοναξιά να'ρχομαι σαν τον κλέφτη, να μην αφήνω απάνω σου σταλιά καημό να πέφτει 
20864|['Καρδιά', 'Μοναξιά', 'Παράπονα', 'Χωρισμός']||23/09/2024| Όλο τον κόσμο να θωρώ και να’ σαι εσύ μακριά μου, παράπονα στη μοναξιά θα κάνει η καρδιά μου 
20840|['Μοναξιά', 'Χωρισμός']|Μάριος Φραγκάκης|01/09/2024| Φταίω και 'γω στην τελική που οι δυό μας χώρια ζούμε., Δεν τη μπορώ τη μοναξιά, αμοναχός φοβούμαι 
20822|['Μοναξιά']|Ρουσάκης Δημήτρης|05/08/2024| Μέσα στση νύχτας τη σιωπή στ'ολόγιομο φεγγάρι, έρχεται πάλι η μοναξιά λοντά της να με πάρει 
20781|['Δάκρυα', 'Μοναξιά']|Μαλακούρα Βασιλεία|30/06/2024| Ωρες που νιώθω μοναξιά και βγάζει με στο κλάμα, έλα και πες πως μ' αγαπάς και μην σε νοιάζει πράμα 
20767|['Γνωμικές', 'Ζωή', 'Μοναξιά']|Γιώργος Μπιλανακης|14/06/2024| Όποιος περνά απ'τη ζωή χωρίς ν'αφήσει πράμα,, αμοναχός του τη χτυπά του πένθους την καμπάνα 
20764|['Μοναξιά']|Χριστοδουλάκης Μανώλης (Κανόνης)|14/06/2024| Ελάτρεψα τη μοναξιά μόνο για ένα πράμα,, που τση μιλώ και δε ξεσπά όπως εσύ στο κλάμα 
20557|['Μοναξιά']|Βάρδας Ζαχάρης|11/02/2024| Πες μου ίντα θέλεις μοναξιά 'πο μένα παραπάνω,, που ότι αγαπούσα τό 'κανες όνειρο που δε φτάνω 
20414|['Μοναξιά', 'Σεβντάς', 'Χωρισμός']|Λυκούδη Ηλιάννα|12/01/2024| Τη μοναξιά, που μ'αγαπά, βαθειά κι απελπισμένα,, πόσες φορές την πρόδωσα να σκέφτομαι εσένα 
20413|['Μοναξιά']||12/01/2024| Κρύο, σκοτάδι, παγωνιά, αέρας, δάκρυ, πόνος,, αυτό 'ν'τα συναισθήματα ανθρώπου που'ναι μόνος 
20279|['Μοναξιά']|Γιώργος Μπιλανακης|30/12/2023| Στσοί χίλιους μέσα μοναχός και στσοι δικούς σου ξένος, για να βαστάς την μοναξά θέλει ψυχή και σθένος 
20213|['Μοναξιά']|Γιώργος Μπιλανακης|23/12/2023| Πληγή μεγάλη ο χωρισμός π' αγιάτρευτη πομένει, ποιός είδε αμοναχό πουλί να `χει φωλιά σασμένει 
20157|['Μοναξιά']||03/12/2023| Κάθε που νιώθω μοναξιά σκέφτομαι πως υπάρχεις, και περιμένω τη στιγμή που θα μου πεις πως θα 'ρθεις 
