id|topics|author|date|text
21043|['Θάνατος', 'Μητέρα', 'Πάσχα']|Σκουλάς Νεκτάριος|26/04/2025| Μόνο Μεγάλη Παρασκή κι όντε κηδεύεις μάνα,, γροικάς στ'αλήθεια να χτυπά πένθιμα η καμπάνα 
21032|['Θάνατος', 'Οικογένεια', 'Προσωπικές']|Νικίας Λεντης|26/04/2025| Ποτέ δεν ήμουνα καλός μπαμπά στις μαντινάδες, μα τώρα με τον πόνο αυτό μπορώ να πω χιλιάδες 
20951|['Οικογένεια']|Κονταρός Μανώλης|20/12/2024| Ο άντρας πάντα χαίρεται την οικογένειά του,, να'χει γυναίκα αρχόντισα, με υγεία τα παιδιά του 
20945|['Ηλιος', 'Οικογένεια']||20/12/2024| Παιδί μου και καμάρι μου ο ήλιος σε ζηλεύει, γιατί το φως σου ξεπερνά κι αυτόν που βασιλεύει 
20889|['Οικογένεια']|Δημήτρης Ζλατιλίδης|11/10/2024| Όλες οι πόρτες στη ζωή είναι ανοιχτές για 'μενα, γιατί μου δίδεις δύναμη ακριβοθυγατέρα 
20881|['Οικογένεια']|Γιάννης Βαφάκης|08/10/2024| Σα να'ναι χθες που έπινες τση μάνα σου το γάλα, και τώρα να τα περπατείς τση νιότης μου τα ζάλα 
20880|['Οικογένεια']|Γιάννης Βαφάκης|08/10/2024| Σα το νερό επέρασε ο χρόνος κι ήρθε η ώρα,, τα ζάλα που περπάτησα πατεί ο γιος μου τώρα 
20850|['Αγάπη', 'Οικογένεια']||10/09/2024| Την ώρα που χαμογελάς ακριβοθυγατέρα,, το ρόδισμα τσ' ανατολής θαρρώ πως έχει η μέρα 
20828|['Γνωμικές', 'Επίκαιρες', 'Μητέρα']|Γιώργος Μπιλανακης|08/08/2024| Πίσω από κάθε νικητή κρύβεται μία μάνα, γιατί του δίνει δύναμη, ντελόγο, από την πάνα 
20812|['Μητέρα']|Μηναδακη Κωσταντινα|13/07/2024| Δεν σε έχω μάνα πλάι μου, το ξέρω σ' έχω χάσει,, μα η καρδιά μου σ'αγαπά, και δεν θα σου ξεχάσει 
20743|['Οικογένεια']||28/05/2024| Τ’ αδέρφια δε χωρίζουνε, η μοίρα το ’χει γράψει, κι ανάμεσά τους όποιος μπει φωτιά να τονε κάψει 
20741|['Μητέρα']||28/05/2024| Μάνα, θαρρώ γεράσαμε, μα γνώμη δεν αλλάζεις, κι ακόμα μας θωρείς παιδιά και όλο μας διδάσκεις 
20732|['Μητέρα']|Μαλαγαρδης Δημήτρης (Κακοδημήτρης)|24/05/2024| Μάνα... μια τόση συλλαβή, μια τόσο δα μικρούλα,, μα'ναι η αγάπη σου θεριό, μάνα, γλυκιά μανούλα 
20728|['Μητέρα']|Παπαδημητρίου Βούλα|24/05/2024| Πριν από σένα εύχομαι να φύγω κάποια μέρα,, για δεν θ'αντέξω τον καημό πανάξια μητέρα 
20717|['Μητέρα']||14/05/2024| Άμα θα'ρθώ ξανά στη γη πάλι σ αυτή τη ζήση, μια μανα ... η ίδια η μάνα μου θέλω να με γεννησει 
20716|['Μητέρα']||14/05/2024|" Της μάνας ένα ""ευχαριστώ"" σήμερα να της πούμε, γιατί αυτό που είμαστε σε 'κείνη το χρωστούμε "
