id|topics|author|date|text
20978|['Ομορφιά']|Φραγκούλης Κωστής|01/02/2025| Αγγέλους έπλαθεν ο Θιός σε σκάφη σεντεφένια, και ζύμη του περίσσεψε και σ’ έπλασε κι εσένα 
20958|['Καρδιά', 'Ομορφιά']|Λιλικάκης Βασίλης|06/01/2025| Γέλα να παίρνω δύναμη από την ομορφιά σου, να σ'αγκαλιάζω και ν'ανθεί κι εσένα η καρδιά σου 
20943|['Αστέρια', 'Ομορφιά', 'Τοπικές']||20/12/2024| Πέρδικα Μεσσαρίτισα και βιόλα από το κάστρο, που λάμπεις κι ακτινοβολείς ωσάν τση νύχτας τ'άστρο 
20704|['Ομορφιά']|Μητρόπουλος Αντώνιος|12/05/2024| Η ομορφιά επάνω σου δεν είναι αυτό που βλέπω, είναι αυτό που αισθάνομαι δίπλα μου όταν σ'εχω 
20679|['Ομορφιά']|Βάρδας Ζαχάρης|29/04/2024| Ρόδο τ'Απρίλη ολάνθιστο και μοσχομυρισμένο,, ποιας χαραυγής το πρώτο φως σ' έχει κανακεμένο 
20672|['Ομορφιά']|Χριστοδουλάκης Μανώλης (Κανόνης)|28/04/2024| Γελάς και καλοκαιριασε κι αργεί να φτάσει η δύση, και'χει ο χρόνος πάνω σου τσι δείκτες σταματήσει. 
20658|['Ομορφιά', 'Σεβντάς']|Μπράτης Πέτρος|21/04/2024| Εγώ για σένα τριγυρνώ μέσα στη γειτονιά σου, μην τύχει και για λίγο δω τα κάλλη τα δικά σου 
20625|['Ομορφιά']|Μπράτης Πέτρος|19/03/2024| Σε ήντα μπαξέ ή μάνα σου σε γέννησε μωρό μου, που πήρες τόση ομορφιά και έγινες δικό μου 
20623|['Ομορφιά', 'Σεβντάς']|Κωστής Γιαμαλάκης|15/03/2024| Σαν σε ειδώ στο δρόμο μου ευθύς αναγυρίζω, γιατί τα κάλλη σου πολλά και δεν τα νταγιαντίζω 
20567|['Ομορφιά']|Μπράτης Πέτρος|24/02/2024| Τον τόπο που γεννήθηκα τον αγαπούνε όλοι, την ομορφιά της Ζάκυνθος τ'όμορφο περιβόλι 
20511|['Ομορφιά']|Γιώργος Λινοξυλάκης|01/02/2024| Μια όμορφη μελαχροινή το σώμα τζη γυμνάζει,, και με ξανοίγει διαρκώς με γλύκα και με νάζι 
20473|['Ομορφιά']||21/01/2024| Τη μάνα που σε γέννησε, εικόνισμα θα κάνω, γιατί με σένα ομόρφυνε τον κόσμο παραπάνω 
20390|['Ομορφιά']|Χαιρέτης Aριστείδης (Γυαλάφτης)|12/01/2024| Αυτός που σ’ έχει απέναντι φως μου δε σε χορταίνει, γιατί `σαι μέσα στο μπαξέ μια βιόλα μυρισμένη. 
20351|['Ομορφιά']||07/01/2024| Χρόνε που φθείρεις τσ'ομορφιές παράκληση σου κάνω, να κάνει μιαν εξαίρεση στην ομορφιά τζη απάνω 
20317|['Ομορφιά']|Μαλακούρα Βασιλεία|04/01/2024| Και ο Θεός εζήλεψε τα όμορφα σου κάλλη, γι αυτό δεν έπλασε καμιά, άλλη που να σου μοιάζει 
