id|topics|author|date|text
21001|['Ονειρα']|Θεοδωρογλάκη Νεκταρία|04/04/2025| Κάθε βραδιά στο όνειρο φώς μου σε περιμένω., Έχω το φάρο της καρδιάς για σένα αναμμένο. 
20989|['Ονειρα']|Αεράκης Γιώργος|12/03/2025| Αν κάνω χίλια όνειρα δε λείπεις που κιανένα,, γι’ αυτό δεν έχω ζωντανό από τα χίλια ένα 
20931|['Ονειρα']|Καρανδινακη Ε Ευγενία|08/12/2024| Χάλασμα ήταν τ' όνειρο μαζί του που 'χα πλάσει, και μια ζωή επάλευα, έτρεμα μη χαλάσει 
20900|['Βάσανα', 'Ονειρα']|Γιάννης Σαριδάκης (Μεσαρτογιάννης)|19/10/2024| Τα όνειρα μου πνίγονται κάθε που ξημερώνει, γιατί αγκαλιά με πέρνουνε όντε ξυπνώ, οι πόνοι 
20895|['Γνωμικές', 'Ονειρα']||19/10/2024| Όταν γυρεύεις το άπιαστο, τ'όνειρο το μεγάλο.., όντε το πιάσεις, μην ξεχνάς, το πρώτο σου το ζάλο 
20863|['Ερωτας', 'Ονειρα']||23/09/2024| Αν τύχει και μ’ ονειρευτείς κι ο ύπνος σου χαλάσει, μου φτάνει που απ’ τη σκέψη σου θα’ χω κι εγώ περάσει 
20853|['Αγάπη', 'Ονειρα', 'Χωρισμός']|Ανδρουλάκης Ανδρέας|10/09/2024| Σ'αγάπες που περάσανε και σ'όνειρα χαμένα,, να μη γυρνάς... δε χτίζουνε πάνω στα γκρεμισμένα 
20829|['Ονειρα']|Γιάννης Σαριδάκης (Μεσαρτογιάννης)|08/08/2024| Τα όνειρά μου έκαμα πλεξούδα στα μαλλιά σου, μα τα 'κοψες και γκρέμισες ότι 'χτιζα... φαντάσου 
20795|['Ονειρα']|Χαραλαμπος Λαδουκακης|06/07/2024| Μπορεί να είμαι μακριά, μα έρχομαι κοντά σου,, που με τη σκέψη μου μπορώ να μπαίνω στα όνειρα σου 
20684|['Θάνατος', 'Ονειρα']||03/05/2024| Ο πιο μεγάλος θάνατος δεν είναι να πεθάνεις,, είναι να ζεις, να μη μπορείς, όνειρα πια να κάνεις 
20680|['Ονειρα', 'Παράπονα']|Χριστοδουλάκης Μανώλης (Κανόνης)|29/04/2024| Τα όνειρα μου σα ξερά φύλλα στη γη φυτρώνουν, και’δά περνούν περαστικοί και μου τα ξεπατώνουν 
20678|['Ονειρα']|Γιάννης Σαριδάκης (Μεσαρτογιάννης)|29/04/2024| Στην κοιμηθειά τσι σκέψης μου, στ'ονείρου τη βεγγέρα,, πόσες βραδιές σ'αγκαλιαζε, του λογισμού μου η χέρα 
20666|['Αγάπη', 'Ονειρα']|Μαλακούρα Βασιλεία|28/04/2024| Κάνε το ένα ζάλο εσύ να κάνω εγώ το άλλο, να γίνει η αγάπη μας τ'όνειρο το μεγάλο 
20653|['Ονειρα', 'Σεβντάς', 'Χωρισμός']|Ζαχαρούλα Βρυλάκη|21/04/2024| Έφταξα να τσι βλαστημώ τσι ώρες που κοιμούμαι,, ω τα παντέρμα όνειρα κι αυτά σε νοσταλγούνε 
20648|['Ονειρα', 'Χωρισμός']|Μαλακούρα Βασιλεία|21/04/2024| Στην φεύγα σου εκράτησα τα μάθια μου κλεισμένα,, να μην ειδώ τα όνειρα να είναι γκρεμισμένα 
