id|topics|author|date|text
21019|['Παράδοση']|Απόστολος Βόμπρας|24/04/2025| Ετούτη την παράδοση θα την κρατώ για χρόνια,, να την περάσω σε παιδιά σ' ανήψια και σ΄ εγγόνια 
20633|['Επίκαιρες', 'Παράδοση']|Μαλακούρα Βασιλεία|24/03/2024| Την εθνική μας εορτή σήμερα την τιμούμε, και ήρωες επανάστασης σήμερα τους υμνούμε 
20561|['Λεβεντιά', 'Παράδοση']|Πέτρος Ρογδάκης|14/02/2024| Είναι η παράδοση δεντρί που όταν το ποτίζεις, γεννά ανθούς τση λεβεντιάς που πρέπει να στηρίζεις 
20559|['Παράδοση']||11/02/2024| Δεντρό 'ναι η παράδοση βγάνει ανθούς και κλώνους, και αν το ξετρέχομαι σωστά θα αντέξει χίλιους χρόνους 
20221|['Παράδοση']|Γιώργος Μπιλανακης|23/12/2023| Λαός που τσοι προγόνους του ξέχασε και τα ήθη, στου πηγαδιού την άβυσσο αργοσκεπάζει η λήθη 
19557|['Παράδοση']|Γιώργος Μπιλανακης|19/01/2023| Ή Γιαμπουδάκης ή Σκουλάς δεν έχει σημασία, εγώ μετρώ που κάμανε το αίμα τους θυσία 
19527|['Παράδοση']|Σπαντιδάκη Δέσποινα|14/12/2022| Η Κρητική παράδοση είναι δεντρό στη φύση., Θέλει απ’ όλους πότισμα μην μαραθεί να σβήσει 
19123|['Παράδοση']|Σκουλάς Μύρων|05/02/2022| Οι μερακλήδες οι παλιοί από τότε που σχολάσαν, τα μερακλίκια τα καλά εσβήσαν και περάσαν 
18539|['Παράδοση']|Ερατεινος Αγγελος|09/03/2021| Ένα ματσάκι μάραθο κι ένα ματσάκι δυόσμος, τα φαγητά σου πλούτιζαν και μύριζε ο κόσμος 
17706|['Παράδοση']|Μαθιουδάκης Γιάννης|24/03/2020| Εμείς στην Κρήτη το'χουμε και είναι σε τιμή μας,, να λέμε για τις ρίζες μας και την καταγωγή μας 
17497|['Παράδοση']|Κυριάκος Μεταξάκης|14/03/2020| Τση Κρήτης η παράδοση, μιλάει με μαντινάδες,, στα χνάρια του Ρωτόκριτου, οι νιοι κάμουν καντάδες. 
17496|['Παράδοση']|Κυριάκος Μεταξάκης|14/03/2020| Τση Κρήτης η παράδοση, αντέχει στους αιώνες,, σπέρνει καρπούς και θρέφεται, με αίμα και αγώνες. 
17004|['Παράδοση']|Δραγασάκη Στέλλα|19/04/2018| Τη λύρα όντε τη κρατείς, κι οι αγγέλοι τραγουδούνε,, και το δοξάρι εικόνισμα κάνουν και προσκυνούνε. 
16912|['Παράδοση']|Μακρή Ζωή|18/04/2018| Ψηλό δενδρί η παράδοση γεροί πως είν' οι κλώνοι, και παραμένει λυγερό όσοι κι αν έρθουν χρόνοι 
16324|['Παράδοση']|Κίτσος Γιώργος|11/10/2016| Στον Ομαλό σαν θα βρεθείς θα ζήσεις την λατρεία, για την Ελλάδα, την τιμή και την ελευθερία 
15532|['Παράδοση']|Σταυριανος Κωνσταντινος|12/05/2015| Η λύρα με τις τρεις χορδές πολλές καρδιές σκλαβώνει, και της Καρπάθου η μουσική τον κόσμο ξεσηκώνει 
