id|topics|author|date|text
20970|['Παρανομία', 'Τοπικές']|Κατσαμάνης Φώτης|01/02/2025| Το κέντρο της ζωοκλοπής είναι το Μονοφάτσι, και όποιος τολμήσει και βρεθεί τα ζώα του θα κλάψει 
20969|['Παρανομία', 'Τοπικές']|Βασιλης Κολουνταζακης|01/02/2025| Τσάτσος ποτέ κι ανε βρεθεί μέσα στο μονοφατσι, θα τονε μπαλοταρουνε ακόμα και οι μπάτσοι 
20618|['Παρανομία', 'Προσωπικές']|Μπράτης Πέτρος|15/03/2024| Πήρα πιστόλι ζηλευτό και το'χω στο πλευρό μου, για κάθε ενδεχόμενο να το'χω σύντροφό μου 
20462|['Παρανομία', 'Παράπονα']|Μπράτης Πέτρος|21/01/2024| Σύντεκνε δέν κατάλαβα γιατί κρατάς μπιστόλι;, Εμείς είμαστε άοπλοι καί διασκεδάζουμε όλοι 
20450|['Παρανομία']|Μπράτης Πέτρος|21/01/2024| Έχω πιστόλι αυτόματο, γεμίζει και σκοτώνει,, γι'αυτό έχε το υπόψιν σου εδά απού νυχτώνει 
19179|['Παρανομία']|Νίκος Μπομπολάκης|10/02/2022| Όλα μου τα σιδερικά τα έχω τρυπωμένα, κι ας έρθουν οι χωροφύλακες να μου βρουν έστω ένα 
17489|['Παρανομία']|Μανόλης Αυδής|14/03/2020| Δεν φταίγανε οι Ζωνιανοί τους γέλασε η φύση, Αυτοί χορτάρι φύτεψαν μα φύτρωσε χασίσι 
17295|['Παρανομία']||06/02/2020| Ο άντρας μπαίνει φυλακή μόνο για τρείς αιτίες..., Για φονικό, για ζωοκλοπή και χασισοφυτείες 
17204|['Παρανομία']|Μανωλης Καντερακης|14/09/2019| Κρήτη σε τραγουδήσανε κι άλλοι σου γράψαν στίχους, εμείς σε ζωγραφίσαμε στης φυλακής τους τοίχους 
15179|['Παρανομία']|Ανδρέου Μαρίνα|13/02/2015| Εκειά που ζούνε οι αετοί, στα Ζωνιανά στη φύση,, εκεί φυτρώνει και βλαστά, άφθονο το χασίσι. 
15154|['Παρανομία', 'Προδοσία']|Ανδρέου Μαρίνα|13/02/2015| Μαχαίρι απ'την Κρήτη μας, σύμβολο της φιλίας,, μα ξεπληρώνει πάντοτε, τις πράξεις προδοσίας. 
15152|['Παρανομία']|Ανδρέου Μαρίνα|13/02/2015| Μπλόκο μου κάνανε τα ΜΑΤ και η Αστυνομία,, γιατί μ'έχουνε ύποπτο, για μια παρανομία. 
14966|['Παρανομία']|Καρανδινακη Ε Ευγενία|22/12/2014| Η αγάπη μας καρδούλα μου θα μείνει στο συρτάρι, και τις καλύτερες στιγμές μαζί ντης θα της πάρει. 
14699|['Παρανομία']|Πατουχέας Λευτέρης|07/12/2014| Δουλεύω σαν τον γάιδαρο, να βγάλω λίγα φράγκα,, να πάρω ένα καλάζικοφ, να με φωνάζουν μάγκα. 
14427|['Παρανομία']|Στεφανακης Γιωργος|11/07/2014| Μες στο κελι της φυλακης εφτιαξα την θωρια σου, και ο ιδρωτας που μου ετρεχε θυμιζε το αρωμα σου 
