id|topics|author|date|text
21047|['Παράπονα', 'Πάσχα']|Τζαγκαράκη Έρικα|26/04/2025| Σαν τον Ιούδα έρχεσαι και μου ζητάς συγνώμη,, μα τα τριάντα αργύρια μου τα χρωστάς ακόμη 
21046|['Παράπονα', 'Πάσχα']|Ανυφαντάκης Νεκτάριος|26/04/2025| Τρία κεριά, μια προσευχή, για του Χριστού τα πάθη,, πάντα θα μας σταυρώνουνε των αλλωνών τα λάθη 
21045|['Παράπονα', 'Πάσχα', 'Προδοσία']|Φουκάκης Μανώλης|26/04/2025| Ιούδας, τάφος, Γολγοθάς, σταυρός, καρφιά και βάνω, υπογραφή, πως τα'χω δει στο πρόσωπό σου επάνω 
21042|['Βάσανα', 'Παράπονα', 'Πάσχα']|Σκανδαλάκη Άννα|26/04/2025| Το'ξερες πως θ'αναστηθείς κι ελύγισες Χριστέ μου,, σκέψου, εγώ που δε θα δω ανάσταση, ποτέ μου 
21033|['Ζωή', 'Παράπονα']|Δοξαστάκη Ρένα|26/04/2025| Μόλις γελάσω ρε ζωή μου το γυρνάς σε κλάμα, λες και σου ζήτησα ποτέ να μου χαρίσεις πράμα 
21029|['Παράπονα']||24/04/2025| Φαίνεται πως σκουριάσανε τα μάσκουλα στην πόρτα, και δε μου ξανανοίγουν πια καθώς μ' ανοίγαν πρώτα 
21028|['Καρδιά', 'Παράπονα']||24/04/2025| Αδύνατο 'ναι η καρδιά να ξανανοίξει πόρτα, γιατί είν' επιφυλακτική και δε 'γαπά σαν πρώτα 
21018|['Παράπονα']|Απόστολος Βόμπρας|24/04/2025| 'Ενα σταυρό θα κουβαλώ για πάντα στην ζωή μου,, που δεν σου είπα σ'αγαπώ κι ας ήσουν η δύναμή μου 
21015|['Παράπονα', 'Προσωπικές']|Απόστολος Βόμπρας|24/04/2025| Κακία εγώ δεν σου κρατώ κι ούτε ζητώ να κρίνω,, μονάχα ένα σ'αγαπώ με πόνο θα το πίνω. 
21014|['Καρδιά', 'Παράπονα']|Απόστολος Βόμπρας|24/04/2025| Έσπασε 'μενα η καρδιά σαν δίκοπο μαχαίρι,, όταν σε είδα να γελάς σε αλλουνού το χέρι 
20983|['Καρδιά', 'Παράπονα']|Ιωάννης-Νεκτάριος Νικητάκης|26/02/2025| Πόσες καρδιές χαρίζοντα εκειά απού δεν πρέπει., Τέτοια αδικία ο Θεός άραγε δεν τη βλέπει; 
20974|['Λεβεντιά', 'Παρανομία', 'Παράπονα']|Φραγκούλης Κωστής|01/02/2025| Λαθροκυνήγι, μπαλωθιές, ζωοκλοπή, χασίσι, το νάμι και τη λεβεντιά της Κρήτης έχουν σβήσει 
20959|['Ζωή', 'Παράπονα']|Γιώργος Παπαδάκης|10/01/2025| Δε θέλω δεύτερη ζωη αν είναι σα τη πρώτη,, αφού χαράμισα σε 'σε η την δική μου νιότη 
20952|['Ερωτας', 'Παράπονα']||20/12/2024| Θέλω να'ρθει μια εποχή ν'αλλάξουνε οι ρόλοι, να'σαι για μένα τίποτα κι εγώ η ζωή σου όλη 
20939|['Παράπονα']|Σαββόπουλος Λευτέρης|20/12/2024| Πήγα σε μια μάζωξη των τωρινών ανθρώπω, και βρήκα ένα δεντρί ξερό σε μουσκεμένο τόπο 
20924|['Παράπονα', 'Σεβντάς']||16/11/2024| Γιάντα με κάνεις και χτυπώ πόρτα που δεν ανοίγει, και στέκω απ'όξω και περνά ο κόσμος και ξανοίγει 
