id|topics|author|date|text
20782|['Προδοσία']|Μητσακάκης Μανώλης|30/06/2024| Κάποιοι στενοί μου συγγενείς και κάποιοι δήθεν φίλοι, αυτοί 'ναι που μου κλέψανε το γέλιο από τα χείλη 
15410|['Αγάπη', 'Προδοσία']||11/04/2015| Να σταυρωθώ χίλιες φορές αν είναι η αγάπη αιτία,, αυτό που καίει την ψυχή είναι η προδοσία. 
15196|['Ερωτας', 'Προδοσία']|Ανδρέου Μαρίνα|13/02/2015| Πάντοτε άμα ερωτευτείς, δεν βλέπεις την αλήθεια,, κι η προδοσία σε χτυπά, σαν μαχαιριά στα στήθια. 
14566|['Παράπονα', 'Προδοσία']|Ζερβός Γιώργης|15/09/2014| Σου 'μαθα αγαπη τι θα πει, γελιο, χαρα, θυσια, και το δικο σου ανταλλαγμα ηταν η προδοσια 
13670|['Προδοσία']|Σκόρδος Κωνσταντίνος|14/12/2012| Δεν έχουμε πετρέλαια μα μήτε και χρυσάφι, μόνο προδότες έχουμε μεσ' της βουλής τον χάρτη 
10313|['Θάνατος', 'Προδοσία']|Μανουσακη Στελα|08/01/2009| Πταν πεθανω πειτε του να ερθει στη κηδεια, να δει και με τα ματια του τι κανει η προδοσια 
9244|['Προδοσία']|Πίττας Βασίλειος|24/10/2002| Με εμπλεξες στα δίχτια σου προδοτρα της αγαπης, κι' απ' το καημο μου θα γενω για σενα τρομοκρατης 
6975|['Προδοσία']|Δασκαλάκης Μάνθος|21/05/2002| Μην την λυπάσε κι ας πονεί αφού σ' έχει προδόσει, εχει ο καιρός γυρίσματα και 'δώ θα τα πληρώσει 
1815|['Προδοσία']||22/02/2001| Το τελευταίο το φιλί αυτό της προδοσίας,, δώς μου το πριν να τη διαβείς, τη πόρτα τσ' εκκλησίας. 
677|['Ζωή', 'Ονειρα', 'Προδοσία']||27/10/2000| Κορίτσι μελαγχολικό μες στον ανθό της νιότης, τσ'αγάπης σου τα όνειρα ποιος να'ναι ο προδότης 
