id|topics|author|date|text
21026|['Προσωπικές']|Απόστολος Βόμπρας|24/04/2025| Σ'ένα βουνό θα πάω να βρω, σπηλιά να κατοικήσω,, να δω πως ζούσανε παλιά, λίγο να πάω πίσω 
21021|['Προσωπικές']|Απόστολος Βόμπρας|24/04/2025| Δύσκολους δρόμους περπατώ και με χαρά βαδίζω,, γιατί δεν έμαθα ποτέ εύκολα να κερδίζω 
21020|['Προσωπικές']|Απόστολος Βόμπρας|24/04/2025| Ένα παιδί μεσ' τα βουνά μεγάλωσα και ξέρω,, πως η αγάπη είν' αρκετή, τον πλούτο να σου φέρω 
20986|['Προσωπικές']|Παραδεισανός Γιάννης|12/03/2025| Καλλιά τση μπόρας το νερό να τ' αντιμετωπίσω, παρά με το αιώνιο ψιλόβροχο να ζήσω 
20975|['Ζωή', 'Προσωπικές']|Φραγκούλης Κωστής|01/02/2025| Όσο μπορώ στο βίο μου παράταση θα δώσω, γιατί τ’ αθάνατο νερό ίσως βρεθεί ωστόσο! 
20940|['Προσωπικές']|Σαββόπουλος Λευτέρης|20/12/2024| Με λεν τρελό οι γνωστικοί γιατί στα όρη μένω, και σαν θα μπω στο σπίτι της θυμώνουν για δε βγαίνω 
20937|['Προσωπικές']|Σαββόπουλος Λευτέρης|20/12/2024| Ψηλά στα όρη,ηρεμώ στο χιόνι αποκοιμιέμαι, μακριά απ' την ζέστη των πολλών θαρρώ, ξαναγεννιέμαι 
20929|['Λεβεντιά', 'Προσωπικές']|Λουλούδης Γιώργης|21/11/2024| Εγώ βοσκός γεννήθηκα στο κόκαλο τσι μάντρας, έμαθα να'μαι αρσενικός και θα ποθάνω άντρας 
20919|['Προσωπικές']|Κυριακάκης Νίκος|10/11/2024| Δεν ψάχνω απ'τα χρήματα να βρω την ευτυχία,, πράγματα απλά την έχουνε για μένα την αξία 
20913|['Λεβεντιά', 'Προσωπικές']|Καλλέργης Κώστας|31/10/2024| Κάτι εκέρδισα κι εγώ μόνο με το σπαθί μου,, σε ήθος να μοσχοβολούν κι εμένα οι αθοί μου 
20902|['Ζωή', 'Προσωπικές']|Γιώργος Μπιλανακης|19/10/2024| Μιά στάξη φτάνει υπομονής κι ένα ψιχάλι θάρρος, και το βαστώ μες στη ζωή όσο κι αν έρθει βάρος 
20897|['Ζωή', 'Προσωπικές']|Γιώργος Μπιλανακης|19/10/2024| Δεν με τρομάζει η ζωή, και με πληγές γεμάτη..., του αδελφού δεν νταγιαντώ τη μαχαιριά στην πλάτη 
