id|topics|author|date|text
20956|['Πρωτοχρονιά']|Μαλακούρα Βασιλεία|31/12/2024| Στον Αη Βασιλη έγραψα γράμμα για να σου φέρει, ότι επεθυμάς εσύ παντοτινό μου ταίρι 
20466|['Γνωμικές', 'Πρωτοχρονιά']|Πανηγυράκης Σπύρος|21/01/2024| Σα μάθουμε να δίνουμε, αντί για ευχές, βοήθεια, ο γ'εις τ'αλλού, τότε θα μπει καλή χρονιά στ'αλήθεια 
20387|['Πρωτοχρονιά']|Μαλακούρα Βασιλεία|12/01/2024| Με την καινούργια την χρόνια χίλια καλά να 'ρθουνε, και ευτυχισμένες οι μέρες που θα 'ρθουν να μας βρούνε 
20378|['Βάσανα', 'Καρδιά', 'Πρωτοχρονιά']|Μηναδακη Κωσταντινα|11/01/2024| Σαν ήρθε η νέα η χρονιά, και πόνο έχει φέρει., κι αναρωτιέται η καρδιά, πως τα'χει καταφέρει 
20369|['Πρωτοχρονιά']|Καλλέργης Μανώλης (Μπραγκάρος)|09/01/2024| Άγιε Βασίλη δώσε το, το δώρο το δικό μου,, στα οιρφανά και στ'άτυχα κοπέλια αυτού του κόσμου 
20368|['Πρωτοχρονιά']|Άμπη Σαβοΐδάκη|09/01/2024| Χρόνε παλιά, καλοστραθιά, φύγε, μη σ'ανταμώσει, ο νέος κι ότι άφησες, αυτός ν'αποτελειώσει 
20365|['Πρωτοχρονιά']||09/01/2024| Άγιε Βασίλη πήγαινε σε τόπους που πονούνε,, σ'ανθρώπους που'χουνε καιρό χρόνια πολλά να πούνε 
20347|['Πρωτοχρονιά']|Αυγερινός Συμιακός|07/01/2024| Ένα ποτάμι με ευχές σας στέλνω φουσκωμένο,, το νέο έτος εύχομαι να'ναι ευτυχισμένο 
20341|['Πρωτοχρονιά']|Γεωργιλαδάκη Μάρω|07/01/2024| Σ'αυτούς που μας πληγώσανε δίνε υγεία χρόνε,, να ζουν, να σκούνε, να θωρούν, το πέταγμά μας, ποιό 'ναι 
20340|['Πρωτοχρονιά']|Γεωργιλαδάκη Μάρω|07/01/2024| Σ'αυτούς που μας πληγώσανε δίνε υγεία χρόνε,, να ζουν, να σκούνε, να θωρούν, το πέταγμά μας, ποιό 'ναι 
20332|['Πρωτοχρονιά']|Αυγερινός Συμιακός|04/01/2024| Χρόνε που κάνεις σήμερα τα πρώτα σου τα ζάλα,, βροχές να ρίξεις τις χαρές, τον πόνο; ...ούτε στάλα 
20330|['Πρωτοχρονιά']|Αυγερινός Συμιακός|04/01/2024| Ο νέος χρόνος εύχομαι με τον καιρό να μοιάζει,, στον πόνο... υπό το μηδέν και στη χαρά ...να λιάζει 
