id|topics|author|date|text
20642|['Πρωταπριλιά']|Μαλακούρα Βασιλεία|25/03/2024| Πρωταπριλιά 'ναι σήμερα κ εγώ θυμήθηκα εσένα,, τα ψέμματα που μου 'χεις πει τα χιλιοειπομένα 
20548|['Ψέματα']||10/02/2024| Μάσκα δε φόρεσα ποτέ, ούτε και θα φορέσω,, εγώ 'χω ένα πρόσωπο και σ'όποιονε αρέσω 
20255|['Ψέματα']|Γιώργος Μπιλανακης|25/12/2023| Τ΄αθρώπου που `χεις στην καρδιά οντε ακούς το ψόμα, είν' απ' τ' αλάτσι το χοντρό ποιό αλμυρό ακόμα 
19893|['Ψέματα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Τα ψόματα μ' αρέσουνε το λέω δεν τ' αρνούμαι,, για την αγάπη ψόματα να πω, δεν το θυμούμαι 
19875|['Πρωταπριλιά']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Όλες οι μέρες έχουνε τα ψόμματα στα χείλη,, μα πήρενε τη ρετσινιά η πρώτη του Απρίλη. 
19865|['Ψέματα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Η αλήθεια κάνει υπομονή μα κάπου θα τη χάσει,, την αλυσίδα της ψευτιάς θα σύρει και θα σπάσει. 
19864|['Πρωταπριλιά']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Πρωταπριλιά μέρα ψευτιάς ΄ και δεν πιστεύω πραμα, μόνο τη λέξη σ' αγαπώ μα να'ναι από τη μάνα 
19863|['Πρωταπριλιά']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Πρωταπριλιά σ' αγάπησα και δεν παρεξηγαται, γιατί 'ναι μέρα τση ψευτιάς και ψέμματα λογαται 
19833|['Ψέματα']||13/08/2023| Δεν την αντέχω τη σιωπή και όταν θα ξεσπάσω,, προσευχηθείτε μερικοί να μη σας ξεσκεπάσω 
19816|['Ψέματα']||13/08/2023| Σ'ένα καθρέπτη να το λες ψεύτη το σ'αγαπώ σου,, να πεις μι'αλήθεια, μια φορά, έστω στον εαυτό σου 
17789|['Πρωταπριλιά']|Μαραγκάκης Μιχαλης|06/04/2020| Εγω δε λέω ψωματα πρώτη τ' Απρίλη μονο,, το κανω και οντε γελω να κρύψω κάθε πόνο 
17759|['Κορονοϊός', 'Πρωταπριλιά', 'Ψέματα']|Ανδρέας Βουλελακης|01/04/2020| Ψέμα πρωταπριλιάτικο να 'τανε η καραντίνα, κι ο έρμος κορονοϊός που ήρθε από την Κίνα 
17754|['Πρωταπριλιά']|Μαρκογιαννάκης Γιάννης|01/04/2020| Μι'αλήθεια την Πρωταπριλιά, με ελπίδα περιμένω,, να ξανανάψει τση καρδιάς, το τζάκι το σβησμένο 
17752|['Πρωταπριλιά']|Μαρκογιαννάκης Γιάννης|01/04/2020| Το σ'αγαπώ θέλω να πουν, τα δυο γλυκά σου χείλη, και ας είναι πάλι σήμερα, η πρώτη του Απρίλη 
16890|['Πρωταπριλιά', 'Ψέματα']|Χρονέας Νικόλαος|18/04/2018| Εγώ λέω τα ψέματα πρώτη τ'Απρίλη μόνο, αλλά εσύ βρε κούκλα μου τα λες όλο το χρόνο 
16466|['Παράπονα', 'Ψέματα']|Χρονέας Νικόλαος|03/02/2017| Μια αφασία, μία γαϊδουριά ψέμα και τίποτ' άλλο, τον πιό περήφανο λαό τον έστειλαν στο διάολο 
