id|topics|author|date|text
21034|['Σεβντάς']|Ραπτάκης Γιώργος|26/04/2025| Δε με θωρρείς, δε σε θρωρρώ, δε νιώθεις που σ'αγγίζω,, μα'μαι σκιά που σου κλουθώ κι όπου πατείς βαδίζω 
20990|['Σεβντάς']|Βάρδας Γιάννης (Λυραρογιάννης)|12/03/2025| Να μπόρουνα να σ'αρνηθώ θα το΄χα καμωμένο,, μα ούτε το λογισμό βαστώ ούτε τη σκέψη στένω 
20988|['Βάσανα', 'Ερωτας', 'Σεβντάς']|Νίκος Καζαλάκης|12/03/2025| Χίλιους καημούς και βάσανα προσφέρεις στο κορμί μου, και βγάζει αίμα η καρδιά μέσα 'πο την πληγή μου 
20973|['Σεβντάς']|Χαιρέτης Aριστείδης (Γυαλάφτης)|01/02/2025| Η σκέψη μου είναι ελεύθερη και κάνει ό,τι θέλει, κι είναι στα πρέπει γέρικη και στο σεβντά κοπέλι 
20967|['Σεβντάς']|Τσατσακης Μιχαλης|19/01/2025| Να' μουν αέρας να περνώ μέσα απ'τσι χαραμάδες, να μην γροικώ εμπόδια για τσι εδικές σου χάρες 
20843|['Σεβντάς']|Μάριος Φραγκάκης|06/09/2024| Μ'εσένανε αγάπη μου όλη η ζωή αλλάζει, και είσαι η μοναδική που διώχνει το μαράζι 
20842|['Σεβντάς']|Ζαχαρούλα Βρυλάκη|01/09/2024| Έφυγε πάλι η σκέψη μου άλάργο μου κι εχάθει, μα να τη στέξω δε μπορώ κοντά σου θέλει να'ρθει 
20841|['Σεβντάς']|Μάριος Φραγκάκης|01/09/2024| Ήελα να'μαι ο σταυρός που έχει στο λαιμό της,, να με κρατά εικόνισμα, να μ'έχει για θεό της 
20836|['Προσωπικές', 'Σεβντάς']|Βασιλης Βαρδακης|22/08/2024| Όλοι οι περιουσία μου είναι ένα μαντολίνο, και αν μου πει πως μ'αγαπά σιμισακό το δίνω 
20835|['Ερωτας', 'Σεβντάς']||10/08/2024| Επήγα σ'ένα πρακτικό γιατρό, να με γιατρέψει,, μα που το σκεφτεί κι αυτός κοντά σου να με πέψει 
20831|['Βάσανα', 'Σεβντάς']||10/08/2024| Παίξε παντερμη λύρα μου τον πόνο κάμε νότες, ν’ανοίξουν όλου του χωριού οι κλειδωμένες πόρτες 
20830|['Σεβντάς']||10/08/2024| Για το χατήρι του σεβντά, έπιασα το δοξάρι, τα πάθη μου να τραγουδώ απού ‘ναι ένα κουβάρι 
