id|topics|author|date|text
19496|['Στρατός']|Πολυξένη Θεοδωρίδου|19/11/2022| Καλοί'ναι και οι Σκαλπ Ναβάλ, καλά και τα Εξοσέτια,, που θα γλεντήσουν την Τουρκιά, και όλα τα μεμέτια! 
19100|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Άδειες, εξόδους και λοιπά που 'χουνε πάει πίσω, θα πάρω και τα πόδια μου δε θα ξαναπατήσω 
19099|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Πάλιωσα πια και δε μπορώ ούτε να περπατήσω, φαίνεται ότι με τραβούν μωρό μου οι μήνες πίσω 
19098|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Δε ξανακάνω τίποτα, δηλώνω λουφαδόρος, τουρίστας στο στρατόπεδο και αρχιταβλαδόρος 
19097|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Καψόνια φίλε και σκοπιές απάνω ντως τ' αφήνω, κατακλυσμός να γίνεται, δεκάρα πια δε δίνω 
19096|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Τώρα που πάλιωσα κι εγώ, το αίμα μου θα πάρω,, ζωή και κότα θα περνώ, θα κάνω ότι γουστάρω 
19095|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Περνάει ο χρόνος σα νερό κι οι μέρες πάνε πίσω., Τρεις μήνες μ' απομείνανε μπλιο να υπηρετήσω 
19094|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Τη λάμπα ξύριζα γουλί σαν ήθελα με βάζει,, ο πιο παλιός, για να γελά και να με κάνει χάζι 
19093|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Κοίτα να δεις βρε φίλε μου μια παλιοιστορία, αυτοί να πίνουνε καφέ κι εγώ στην αγγαρεία 
19092|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Στραβάδι, νέος, ήτανε να προσωνύμιά μου, και να ξεχάσω κόντεψα, ο δόλιος τ'ονομά μου 
19091|['Στρατός']|Άννα Γιακουμάκη|28/01/2022|" Που να τολμήσω έξοδο ή άδεια να ζητήσω, που την ""Καλιόπη"" με'στελναν να πάω να καθαρίσω "
19090|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Με στέλναν δύο-τέσσερις πάντα σκοπιά να κάνω, απ'το καψόνι κόντεψα ο έρμος να ποθάνω 
19089|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Μωρό μου στο στρατόπεδο φαντάρος σαν εμπήκα, με περιλάβαν οι παλιοί και το μπελά εβρήκα 
19088|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Αυτή τη μέρα δε μπορώ σκοπιά εγώ να κάνω, γιορτάζουμε κι 'σαι μακρυά κι εγώ τον κόσμο χάνω 
19087|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Σήμερα απού κλείνουμε χρόνο εμείς οι δύο, κάνω σκοπιά και βρίσκομαι μόνος μου μες στο κρύο 
19086|['Στρατός']|Άννα Γιακουμάκη|28/01/2022| Αν χτίσουνε στρατόπεδο δίπλα στο λύκειό σου, θα βάλω μέσο και θα'ρθω για να'μαι στο πλευρό σου 
