id|topics|author|date|text
20749|['Σχολείο']|Γιώργος Χαλικάκης|04/06/2024| Κάνεις μεγάλο πάταγο όπου και να περάσεις, και παίρνεις πάντα άριστα σ'όλες τις εξετάσεις 
18112|['Σχολείο']||18/06/2020| Στα μονοπάτια τση ζωής, πρώτη δοκιμασία,, χωρίς αγώνα γιόκα μου πράμα δεν έχει αξία 
17532|['Σχολείο']||15/03/2020| Αύριο μέρα θλιβερή αύριο, αύριο μέρα πένθους,, αύριο έρχονται οι γονείς, να πάρουν του ελέγχους 
15761|['Σχολείο']|Καρανδινακη Ε Ευγενία|12/09/2015| Θέ μου δως μου θέληση να κάτσω να διαβάσω, και στη σχολή που λαχτάρω γρήγορα να περάσω 
7250|['Σχολείο']|Δουκάκης Γιώργος|28/05/2002| Καλή σου μέρα μάτια μου κι άμα χαμογελάσεις, τις εξετάσεις μ' άριστα σίγουρα θα περάσεις 
5899|['Σχολείο']|Βαρανάκης Εμμανουήλ|12/04/2002| Στου Ψηλoρείτη την κορφή θα χτίσω ένα σχολείο, να μπαινοβγαίνει ο δάσκαλος με το χρυσό βιβλίο 
4957|['Σχολείο']|Γιακουμάκης Ευάγγελος|06/03/2002| Αριστος ήμουνα στο σχολείο και με έκανες ντουβάρι,, και μίσησα τα γράμματα για τη δικιά σου χάρη. 
4588|['Σχολείο']|Γιακουμάκης Ευάγγελος|12/02/2002| Δεν τα πουλώ τα πρόβατα μα κι άλλα θα αγοράσω, γιατί κι αυτό το εξάμηνο μάθημα δεν θα περάσω 
3725|['Σχολείο']|Παντερης Δημήτρης|24/11/2001| Ξύπνα τεμπέλα κοπελιά να πας στις εξετάσεις, να δούμε πόσο αψηλά μπορείς να πας να γράψεις 
3724|['Σχολείο']|Παντερης Δημήτρης|24/11/2001| Καλή σου μέρα κοπελιά και άντε να πας να γράψεις, να μη χαζεύεις είπαμε τώρα στις εξετάσεις 
