id|topics|author|date|text
20058|['Τεχνολογικές']||05/11/2023| Ανε ποθάνω βάλτε μου κομπιούτερ μες στον τάφο, το ρούτερ μην ξεχάσετε wi-fi να'χω 
20057|['Τεχνολογικές']||05/11/2023| Ανέ ποθάνω βάλτε μου στο μνήμα το κομπιούτερ, και για να έχω ίντερνετ βάλτε μου κι ένα ρούτερ 
18649|['Τεχνολογικές']||03/06/2021| Στα μέρη που το κινητό δεν πιάνει μου πηγαίνεις, κι όσο δεν είναι εφικτή η κλήση με τρελαίνεις 
18552|['Τεχνολογικές']|Κυρίτση Φωτεινή|16/04/2021| Πάρε λοιπόν το κινητό και άσε τις ντροπές σου, και στείλε μου, το μήνυμα μέσα από το βαιμπερ σου! 
17322|['Τεχνολογικές']|Ερατεινος Αγγελος|06/02/2020| Οι αετοί περήφανα όλο ψηλά πετούνε, σε ανεμογεννήτριες εύχομαι μη πλεχτούνε 
17203|['Τεχνολογικές']|Μανωλης Καντερακης|14/09/2019| Δε θέλω επιβράβευση ούτε λάικ γουστάρω, το χρόνο μου στα σοβαρά είπα να τον επάρω 
14865|['Τεχνολογικές']|Ιερωνυμάκη Μαρία|07/12/2014| Αφου μωρο μου σ'αγαπω και ας εισαι μακρια μου, το facebook να'ναι καλα που σε 'φερε κοντα μου. 
14437|['Τεχνολογικές']|Γιαννούλης Μανόλης|11/07/2014| Στο ίντερνετ σε έψαχνα στο φέις-μπουκ σε βρήκα, και η φωτογραφία σου ήτανε σκέτη γλύκα 
13145|['Τεχνολογικές']|Ανδριανάκης Γιάννης|18/12/2011| Επήγα κ'έβαλα 3G στο κινητό απάνω, όντα δ'αν είμαι στα βουνά το ίντερνετ να πιάνω 
12964|['Τεχνολογικές']|Τσιφακάκης Παναγιώτης|19/11/2011| Εγω σου το πα κοπελια στα χερια μου αν σε πιασω,, και φωτα και πολυμπριζα πως θα σου τα αλλαξω 
12503|['Τεχνολογικές']|Διαμαντής Στέλιος|16/04/2011| Ανάθεμα το internet και την τεχνολογία, ξεχάσαμε τα Ελληνικά και είναι αυτά αιτία 
12324|['Τεχνολογικές']|Αθουσάκης Λευτέρης|06/11/2010| Έσβησα το τηλέφωνο και τα μηνύματά σου, σε βγάζω κι απ'το facebook και τώρα άντε γεία σου 
12291|['Τεχνολογικές']|Τζαμπαζακης Γιωργος|06/11/2010| Καταραμενο ιντερνετ ιντα 'ναι αυτα που κανεις, να βρινεις μεσα γκομενα κ'υστερα να τη χανεις 
12065|['Τεχνολογικές']|Γεωργουλάκης Βασίλης|16/10/2010| Router δε βανω στο χωριο μ' ουδε και στο μιτατο,, γιατι η κρυγιαδα του βουνου το internet χαλα το. 
12002|['Τεχνολογικές']|Κρεββαθιανάκης Γιάννης|02/10/2010| Να χα καρδιά ηλεκτρονική reset να της πατήσω, κι ότι έχει στη μνήμη της για πάντα να το σβήσω. 
11969|['Τεχνολογικές']|Μιχαλοπουλος Κωνσταντινος|02/10/2010| Ενα τσιπάκι ΑΒΤ και τιτανίου ζαντες,, θα βάλω στο Scirocco μου, να μπαίνει με τις πάντες! 
