id|topics|author|date|text
20761|['Θάλασσα']|Κουκλινός Αντώνης|14/06/2024| Η κάψα θέλει ασκιανό κι αέρας να φυσήξει,, κι απού χει θάλασσα κοντά, να πάει να βουτήξει 
19885|['Θάλασσα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Μια θάλασσα χωρίς νερό θα βρω να κολυμπήσω,, γιατί ανέ μπω σε τούτηνε δε θα ξαναπορίσω 
19476|['Θάλασσα']|Παλαιολογος Ευτυχης|25/09/2022| Μεγάλη είναι η θάλασσα πολλά τα κύματα της, κάποτε θα ρθει κι η στεριά και τα καμώματα της 
18787|['Θάλασσα']|Χουρδάκης Κωστής|28/09/2021| Μοιαζει τση μαυρης σκεψης μου που δεν καταλαγιαζει,, η θαλασσα που μια στιγμης ποτε δεν ησυχαζει 
18697|['Θάλασσα']|Κουκλινός Αντώνης|24/06/2021| Πολλές φορές η σκέψη μου τσι θάλασσας ταιριάζει., Όντε θα σ' αναστορηθεί, ντελόγω φουρτουνιάζει! 
18304|['Θάλασσα']|Ερατεινος Αγγελος|25/09/2020| Ο νους δεν ξέρει τη σιωπή, θάλασσας έχει κύμα, να νανουρίζει τη στεριά και το δικό σου πείσμα 
18200|['Θάλασσα']|Τσουκλερη Γιαννα|26/07/2020| Φουρτούνιασε η θάλασσα βγάζει τα σωθικά της, πόνος, καημός αγιάτρευτος ξεσχίζει την καρδιά της 
17536|['Θάλασσα']|Αντωνης Δερμιτζακης|15/03/2020| Φουρτουνιασμένη θάλασσα κερά μου η μαθιά σου, βούτηξα και με ξέβρασε μέσα στην αγκαλιά σου 
15386|['Θάλασσα']|Δημήτρης Κρητικός|11/04/2015| Φουρτουνιασμέη θάλασσα και ηφαίστειο που βράζει, μοιάζει μακριά σου η καρδιά όταν αναστενάζει 
15092|['Θάλασσα']|Μωυσιαδης Χρηστος|13/02/2015| Θαλασσα η αγαπη σου κι'εγω μεσα στη μεση, μαχες να δινει η καρδια ολη να την χωρεσει 
14989|['Θάλασσα']|Χαλάς Θανάσης|22/12/2014| Στα μάτια σου, η θάλασσα που θε να κολυμπήσω, και στο βυθό τους, μυστικά θε να ανακαλύψω 
14732|['Θάλασσα']|Παπαθανασάκης Κωστής|07/12/2014| Μες στση ζωής τη θάλασσα ψάχνεις ένα λιμάνι, που μέσα δεν θα μπαίνουν μπλιο οι άλλοι καπετάνιοι. 
14461|['Θάλασσα']|Λιωνάκης Μιχάλης|09/08/2014| Ο ερωτας σου ποταμος που συνεχως γεμιζει, τη θαλασσα τσ αγαπης μου μα αυτη δε ξεχειλιζει 
