id|topics|author|date|text
20948|['Γνωμικές', 'Της παρέας']||20/12/2024| Τον άνθρωπο τον μερακλή δεν το αγγίζει ο χρόνος,, πίνει, γλεντίζει, τραγουδεί και κλαίει ταυτοχρόνως 
20904|['Γνωμικές', 'Της παρέας']||20/10/2024| Γλέντι, τραγούδι και χαρά με την ψυχή να δίνεις, μα να'χεις μέτρο σε ότι λες και στο πιοτό που πίνεις 
20747|['Της παρέας']|Μηναδακη Κωσταντινα|04/06/2024| Ανθρώπους θέλω τσι πρεπιάς, στην ζήση μου παρέα,, για να περνούν οι μέρες μας, πιτήδια και ωραία. 
20723|['Της παρέας']||21/05/2024| Με μερακλήδες κάθομαι, με άντρες ροζονάρω,, με φίλους πίνω και γλεντώ και δε φοβούμε χάρο 
18499|['Της παρέας']||28/01/2021| Τέτοια παρέα όμορφη, όποιος μονομεριάσει,, βαρέλια να'χει το κρασί, 'θέλε να το ξοδιάσει 
17257|['Της παρέας']|Κωνσταντίνος Χρυσανθόπουλος|06/02/2020| Με τις ρακές που πίνουμε χάμε εδώ στην Κρήτη, γινόμαστε κουρούμπελα πάνω στον Ψηλορείτη 
16745|['Της παρέας']|Αννα Νεστουρη|15/12/2017| Ρακί, κρασί και τσίπουρο πίνω με την παρέα, και αναστενάζω την ζωή την πλούσια, την ωραία 
16689|['Της παρέας']|Μαρκος Πρινιωτακης|15/12/2017| Να' ταν η θάλασσα κρασί και τα βουνά μεζέδες, και οι βάρκες κρασοπότηρα να πίνουν οι γλετζέδες 
16488|['Της παρέας']|Ξανθάκης Κώστας|03/02/2017| Η θάλασσα κι ο ουρανός έχουνε ένα χρώμα., Να ζήσει η παρέα μας χίλιες χιλιάδες χρόνια 
15747|['Της παρέας']|Καρανδινακη Ε Ευγενία|12/09/2015| Καλήν εσπέρα φίλοι μου έφτασε το βραδάκι, με μαντινάδες προχωρά τ'όμορφο παρέακι 
15623|['Της παρέας']|Χρονέας Νικόλαος|25/08/2015| Οταν μεθώ με τσικουδιά ο ύπνος δε με πιάνει, τον ουρανό νομίζω γη τη γη πως ειν' ταβάνι 
15399|['Της παρέας']|Δημήτρης Κρητικός|11/04/2015| Το είδες το μουστάκι μου πως άρχισε και ιδρώνει, μια κοπελιά μου το φιλεί και γρήγορα μεγαλώνει 
15371|['Της παρέας']|Δημήτρης Κρητικός|11/04/2015| Έκοψε τα κρουλάκια τζη η σκυλογαβγισμένη, και δα 'ναι σαν τη λεμονιά την κακοκλαδεμένη 
14805|['Της παρέας']|Μαρκετάκης Στέλιος|07/12/2014| Αφού τ' ανθρώπου η ζωή κρέμεται στο μετάξι, γι' αυτό σε γλέντια και χορούς πρέπει να την -ε-τάξει 
14404|['Της παρέας']|Σταθης Θωμας|11/07/2014| Αν είναι θέλημα θεού και το θελήσει η μοίρα, στην ξενιτιά θα έρχομαι για να σας παίζω λύρα. 
14177|['Αγάπη', 'Βάσανα', 'Διάφορες', 'Θάνατος', 'Σεβντάς', 'Της παρέας', 'Φιλία', 'Χωρισμός']|Κοκκινου Ελενη|14/06/2014| Οτι και αν θελεις ειμαι δω σε καθε δυσκολια, αλλωστε λενε πως γι αυτο φτιαχνεται μια φιλια 
