id|topics|author|date|text
20984|['Λεβεντιά', 'Τοπικές']|Μανούσος Βουλγαράκης|26/02/2025| Εις στα Μεσκλά στον τόπο αυτόν γεννιούνται οι λεβέντες, που 'χουν τιμή παλικαριού και καθαρούς τους μπέτες 
20963|['Ερωτας', 'Σεβντάς', 'Τοπικές']|Γιώργος Παπαδάκης|15/01/2025| Πισκοπιανέ βασιλικέ χαρώ τη μυρωδιά σου, που δε μπορώ να βρίσκομαι ούτε λεπτό μακριά σου 
20928|['Προσωπικές', 'Τοπικές']|Λουλούδης Γιώργης|19/11/2024| Δεν είμαι από το Ρέθυμνο μα ούτε και απ'τ' Ανώγεια, μα είμαι εγώ από τον Ζαρό και δε σηκώνω λόγια 
20833|['Ερωτας', 'Τοπικές']||10/08/2024| Τα βάσανά μου σε χαρές τα μετατρέπεις όλα, όντε θωρώ και μου γελάς Βοριζιανή μου βιόλα 
20617|['Προσωπικές', 'Τοπικές']|Μπράτης Πέτρος|15/03/2024| Επήγα και αγόρασα οικόπεδο στο Τζάντε, να φτιάξω ένα αρχοντικό στο Φιόρο του Λεβάντε 
20580|['Τοπικές']|Μπράτης Πέτρος|24/02/2024| Είναι πολλοί οι κρητικοί στο Τζάντε όπου ζούμε, και τα πατροπαράδοτα με πίστη εκτελούνε 
20579|['Τοπικές']|Μπράτης Πέτρος|24/02/2024| Μια μαντινάδα θα σου πω στου Τζάντε το περιβόλι, να είναι η Ζάκυνθος καλά να τη χαιρόμαστε όλοι 
20539|['Τοπικές']|Μπράτης Πέτρος|09/02/2024| Το όνομά σου ξακουστό σ'όλη την οικουμένη, Ζάκυνθο όμορφο νησί χιλιοτραγουδισμένη 
20448|['Ηλιος', 'Τοπικές']|Μπράτης Πέτρος|21/01/2024| Γλυκοχαράζει ή αυγή στο Τζάντε κάθε μέρα, περήφανος λαμποκοπά ο ήλιος πέρα ως πέρα 
20436|['Τοπικές']|Μπράτης Πέτρος|21/01/2024| Μισεύω και αποχαιρετώ της Ζάκυνθου τα κάλλη, τον άγιο τον Σολομό τ'ωραίο ακρογιάλι 
20068|['Τοπικές']|Γιωργος Ζαχαρακης|11/11/2023| Στο Μιλλιαράδω πρέπουνε παινέματα μεγάλα, γιατί αυτό εγέννησε τον ξακουστό Νταντάλα 
19983|['Τοπικές']||13/09/2023| Αχι πως ενοστάλγησα του Λασιθιού τον τόπο, γιατί 'χει ανθρώπους με τιμή φιλότιμο και κόπο 
