id|topics|author|date|text
20891|['Ξενιτιά']||11/10/2024| Την πέτρα που επάτησα και μπήκα στο καράβι, θα τη γυρεύω να τη βρω να τηνε βάψω μαύρη 
20656|['Ξενιτιά', 'Χωρισμός']|Μαλακούρα Βασιλεία|21/04/2024| Αλάργο μου κι αν βρίσκεσαι η σκέψη θα σε φέρνει,, γιατί ποτέ τζη δεν ξεχνά κάτι απου λατρεύει 
19614|['Ξενιτιά']|Εμμανουέλα Μπορμπουδακη|10/04/2023| Αργοπεθαίνει η καρδιά που σε θωρει στα ξένα, κάθε παλμός παράπονο και στεναγμός για εσένα 
19312|['Ξενιτιά']|Καρανδινακη Ε Ευγενία|18/05/2022|" Έφευγες και δεν φώναξα ""μείνε"", ""μη φεύγεις, στάσου"", δεμένο το 'χα το κορμί μη 'ρθει στην αγκαλιά σου "
18886|['Ξενιτιά']||17/10/2021| Ο Κρητικός την ξενιτιά δεν την-ε- συνηθίζει., Όσα αγαθά κι αν έκαμε, κάποιες φορές δακρύζει 
18386|['Ξενιτιά']||06/10/2020| Χιλιάδες χαιρετίσματα όσοι κι αν με γροικάτε, κι αφήνω σας παραγγελιά, την Κρήτη μην ξεχνάτε. 
18385|['Ξενιτιά']||06/10/2020| Ο Κρητικός στη ξενιτιά δεν πρέπει να πεθαίνει, γιατί το χώμα είναι βαρύ κι η πλάκα είναι ξένη. 
18384|['Ξενιτιά']||06/10/2020| Ξενιτεμένο μου πουλί, γοργό μου χελιδόνι,, απ' όταν εχωρίσαμε ο νους μου δε μερώνει 
17858|['Ξενιτιά']|Μανωλία Τζιμπουκάκη Μαρκάκη|02/05/2020| Μίλια μακριά απ’το τόπο μου, χρόνια με τσ’αναμνήσεις,, και στ’αναπάντητο γιατί δεν βρίσκω εξηγήσεις. 
17507|['Ξενιτιά']|Βασιλείου Μαργαρίτα|14/03/2020| Σε δρόμους κοσμοδιάβατους τα ζάλα σου πατούνε, και μοναχός γιορτάζω εγώ σήμερο η μέρα που'ναι 
17470|['Ξενιτιά']|Καρανδινακη Ε Ευγενία|14/03/2020| Σ'οποία γωνία το πόδι σου του κόσμου να πατήσεις, έστω και ένα Κρητικό στάνταρ θα συναντήσεις 
17414|['Ξενιτιά']|Οικονομίδης Δημήτρης|26/02/2020| Το δακρυ μου εξεστράτησε στου Τάμεση την όχθη, και πνίγηκε με στο νερό τη πεθυμιά μη νιώθει 
17016|['Ξενιτιά']|Κυνηγόπουλος Βαγγέλης|19/04/2018| Η ξενιτιά είναι δεντρί που έχει δύο κλώνους, το ένα δίνει τσι χαρές και το άλλο δίνει πόνους 
16785|['Ξενιτιά']|Δημητριος Μαλαγαρδης|15/12/2017| Ξενιτεμενος κρητικος πουλι φυλακισμενο,, μοιαζει σαν να'ναι σε κλουβι και απ'ολους ξεχασμενο 
16780|['Ξενιτιά']|Στέλλα Λιναρδάκη|15/12/2017| Σταυροκοπιέμαι πάντοτε προσεύχομαι για σένα, να σε 'χει ο Θεός καλά εκεί που 'σαι στα ξένα 
16604|['Ξενιτιά']||03/02/2017| Άνοιξε Κρήτη μι' αγκαλιά όσο μπορείς μεγάλη,, γιατί ρθαν τα κοπέλια σου στα χώματα σου πάλι 
