id|topics|author|date|text
20964|['Χριστούγεννα']|Φραγκούλης Μιχάλης|15/01/2025| Κάρτες, παιχνίδια και λεφτά μπλιο μου δεν ανημένω, τα δώρα είναι άνθρωποι μέρες των Χριστουγέννω. 
20961|['Χριστούγεννα']|Φραγκούλης Μιχάλης|14/01/2025| Κάρτες, παιχνίδια και λεφτά μπλιο μου δεν ανημένω, τα δώρα είναι άνθρωποι μέρες των Χριστουγέννω. 
20955|['Αστέρια', 'Ερωτας', 'Χριστούγεννα']|Μαλακούρα Βασιλεία|30/12/2024| Άστρο χριστουγεννιάτικο μου μοιάζει η μορφή σου, κι η σκέψη μου επόμεινε στην πρώτη θύμηση σου 
20373|['Χριστούγεννα']|Παγκάλου Ειρήνη|09/01/2024| Το σπιτικό σας πλούσιο και φωτείνη η ψυχή σας..., Του Θεανθρώπου την ευχή πάντοτε στην ζωή σας 
20372|['Χριστούγεννα']|Παγκάλου Ειρήνη|09/01/2024| Από την φάτνη του Χριστού τούτη την Άγια μέρα..., υγειά,αγάπη και χαρές να σας κρατούν την χέρα 
20247|['Χριστούγεννα']||24/12/2023| Ότι'χει μέσα στην καρδιά καθένας μας να στείλει, κι ας μην τον λένε άγιο και στ'όνομα Βασίλη 
20239|['Χριστούγεννα']|Γιώργος Μπιλανακης|24/12/2023| Άγιε Βασίλη και να ρθεις να μην μου φέρεις δώρα, μα πρόσεχε στσοι φίλους μου απ'την κακή την ώρα 
20235|['Χριστούγεννα']|Βογιατζακη-Ντουζα Μαρια|23/12/2023| Θε μου δεν είμαι αχάριστη και θα σ'ευχαριστήσω, που ακόμα γι'άλλη μια χρονιά Χριστούγεννα θα ζήσω 
20206|['Χριστούγεννα']|Χριστοδουλάκης Μανώλης (Κανόνης)|21/12/2023| Χριστούγεννα και το δεντρο στόλισα μαύρες μπάλες, μισεψες κι'ναι οι γιορτές μέρες οσα και τσ'άλλες 
20205|['Χριστούγεννα']|Μαρία Παπουτσάκη|21/12/2023| Άγιος Βασίλης θα ντυθώ να ' ρθω να σε παντηξω, για να σου φέρω μπρατικα να σε καλοκαρδισω. 
20202|['Χριστούγεννα']|Ζαχαριάς Νεκτάριος|21/12/2023| Μέρες απου'ναι, ένα κερί θ'ανάψω Χριστουγέννω,, σ'όσες ψυχές μου λείπουνε να το'χω αναμμένο 
20200|['Χριστούγεννα']||21/12/2023| Έρχονται τα Χριστούγεννα, έρχεται νέος χρόνος, κι εύχομαι να εξαφανιστούν η πείνα και ο πόνος 
19879|['Χριστούγεννα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Ίντα ευχή να πει κιανείς μέρες τω Χριστουγέννω,, να 'ναι η ζωή μας ολονώ ένα δεντρό ανθισμένο! 
19878|['Χριστούγεννα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Μια μέρα καθυστέρησες πουλί μου αγαπημένο,, γιατί οψές σ' ανίμενα μέρα τω Χριστουγέννω 
19869|['Χριστούγεννα']|Χαιρέτης Aριστείδης (Γυαλάφτης)|25/08/2023| Ήθελα να 'μουνε δεντρό κι ας ήμουν και κομμένο,, να μ' έχεις μες στο σπίτι σου μέρες τω Χριστουγέννω 
