id|topics|author|date|text
21010|['Ευχές', 'Πάσχα']|Απόστολος Βόμπρας|24/04/2025| Τσ' Ανάστασης το Άγιο φως σε σένανε να λάμψει, και άλλο πόνο να μην βρείς κι αυτός που 'χεις να πάψει 
20925|['Γάμος & Βάπτιση', 'Ευχές']|Διαμαντής Στέλιος|17/11/2024| Να ζήσει η νεοφώτιστη ζωή με ευτυχία, να έχει πλούτη και χαρές μα προπαντώς υγεία 
20920|['Ευχές']|Διαμαντής Στέλιος|10/11/2024| Θα'θελα να'χα ένα ταψί σαφί χαρές γιομάτο,, που να γιομώνει απ'την αρχή όντε θα φτάνει πάτο. 
20705|['Γιορτές & Γενέθλια', 'Ευχές']|Τζανακης Ζαχαρίας|13/05/2024| Χρόνια πολλά θε να σου πω για τα γενέθλια σου., Υγεία, αγάπη και χαρά να χεις μες στην καρδιά σου 
20698|['Ευχές', 'Πάσχα']|Μαλακούρα Βασιλεία|12/05/2024| Χριστός ανέστη και ευχή για σένανε θα κάνω, να έχεις ότι πεθυμάς κι ακόμα παραπάνω 
20697|['Ευχές', 'Πάσχα']|Μαλακούρα Βασιλεία|12/05/2024| Χίλιες πασχαλινές ευχές δέξου από έμενα, όλα τα χρόνια που περνούν να'ναι ευτυχισμένα 
20691|['Ευχές']|Μιχαέλα Κουτουλάκη|04/05/2024| Χρόνια πολλά σου εύχομαι και να'χεις την υγειά σου, να ζήσεις, να μοιράζεσαι τα συναισθήματα σου 
20577|['Ευχές']|Μπράτης Πέτρος|24/02/2024| Κόκκινο ρόδο έσπασα στην πόρτα του σπιτιού σας, καλοτυχία για να'ρθεί μέσα στο σπιτικό σας 
20533|['Ευχές']|Διαμαντής Στέλιος|04/02/2024| Η μέρα εύχομαι να'ρθει που θα'ναι ο καρκίνος, απλά ένα ζώδιο και όχι αρρώστια-θρήνος 
20527|['Ευχές']|Βογιατζακη-Ντουζα Μαρια|04/02/2024| Μήνα παλιέ σε χαιρετώ, νέε σε καλοπιάνω,, και πρόσεχέ μου ότι αγαπώ που 'ναι στη γη επάνω 
20492|['Ευχές']|Μπράτης Πέτρος|28/01/2024| Μ'ένα πιτσούνι σου'στειλα ευχές για τη γιορτή σου, να είσαι καλά να χαίρεσαι ότι ποθεί ή ψυχή σου 
20460|['Ευχές', 'Πρωτοχρονιά']|Μπράτης Πέτρος|21/01/2024| Χίλια καλά να έρθουνε στο σπίτι σας εφέτος, και εύχομαι να έχετε ευλογημένο έτος 
20438|['Ευχές']|Μπράτης Πέτρος|21/01/2024| Όσες χιλιάδες έρχονται στη Ζάκυνθο τουρίστες,, τόσες χιλιάδες τα ευρώ να'χετε στις βαλίτσες 
20430|['Ευχές', 'Προσωπικές']|Μπράτης Πέτρος|18/01/2024| Ήθελα να'μουνα Θεός να καταργώ τούς πόνους,, να έχουμε όλοι χαρές εις της ζωής τους χρόνους 
20410|['Ευχές', 'Πρωτοχρονιά']||12/01/2024| Δίνω ευχές όπου μπορώ για το καινούργιο έτος., Χαρές που δε γνωρίσανε, να τις χαρούνε εφέτος 
20349|['Ευχές']|Αυγερινός Συμιακός|07/01/2024| Ένα ποτάμι με ευχές στέλνω ανταριασμένο,, να μην ε-βλέπω άνθρωπο ποτέ δυστυχισμένο 
