id|topics|author|date|text
20997|['Χωρισμός']|Σταυρούλα Τζίμα|29/03/2025| Μπορείς να λες εσύ τι θες κι εγώ το ίδιο κάνω,, όμως εγώ ο,τι κι αν πω το χρόνο μου θα χάνω 
20996|['Χωρισμός']|Σταυρούλα Τζίμα|29/03/2025| Χωρίσαμε ένα πρωινό μα γιάγυρες οπίσω, και είναι πια πολύ αργά για να σε συγχωρήσω 
20987|['Χωρισμός']|Παραδεισανός Γιάννης|12/03/2025| Καλλιά να ειμαι αμοναχός μαζί με τσ' ασπαλάθους, παρά να ζήσω απ' την αρχή τον πόνο αυτού του πάθους 
20954|['Καρδιά', 'Χωρισμός']|Κατερίνα Βουϊδάσκη|30/12/2024| Εμέ η καρδιά μου δε γελά απ'όντε μου πες γεια σου, γύρνα να ξαναβρει χαρά για δε μπορεί μακρυά σου. 
20953|['Χριστούγεννα', 'Χωρισμός']|Μαλακούρα Βασιλεία|30/12/2024| Χριστούγεννα μέρα χαράς και χώρια εδά ζούμε, εμείς που ορκιζόμασταν πως χώρια δεν μπορούμε 
20894|['Θάνατος', 'Χωρισμός']|Ζαχαριάς Νεκτάριος|19/10/2024| Δεν σε φοβούμε θάνατε γιατί σε έχω ζήσει, την ώρα απου μου 'πενε πως έχουμε χωρίσει 
20867|['Χωρισμός']||27/09/2024| Κοίτα να δεις που φτάσαμε και τώρα δε μιλούμε, που άνω-κάτω κάναμε τον κόσμο να βρεθούμε 
20865|['Βάσανα', 'Χωρισμός']||23/09/2024| Εσύ δεν είσαι ανάμνηση. Ήσουν και θα’ σαι πόνος., Πληγή που δεν κατάφερε να τη γιατρέψει ο χρόνος 
20861|['Χωρισμός']||23/09/2024|" Το πιάτο της εκδίκησης τρώγεται πάντα κρύο, και μάθε το προτού σου πω το τελευταίο ""αντίο"" "
20857|['Χωρισμός']|Γιώργος Μπιλανακης|11/09/2024| Με τη δική σου ανάμνηση κοιμούμαι κάθε βράδυ, και μου το κάνει αβάσταχτο τσι νύχτας το σκοτάδι 
20821|['Σεβντάς', 'Χωρισμός']||04/08/2024| Βράδιασε πάλι σήμερο, ποιά μέρα δε βραδιάζει;.., Ποιός έχει αγάπη στα μακρυά και δεν αναστενάζει 
