id|topics|author|date|text
20993|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|23/03/2025| Παίζεις κερά μου την ψωλή κι είναι θεριό ολόρθη,, που μπαίνει μες τη μπούκα σου κι ως το λαιμό εχώθη. 
20935|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|20/12/2024| Σιρόνουνε τα χύσια μου ως των σβαχιών τσι μπάλες,, κι η μπούκα σου να τα ρουφά χωρίς να μείνουν στάλες. 
20789|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|30/06/2024| Ομπρός σου βάνω το μαγιό το μαύρο το σλιπάκι, κι ευθής γραπώνεις την ψωλή και κάνεις τσιμπουκάκι 
20651|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|21/04/2024| Ολόγρη είναι η ψωλή απάνω μέχρι κάτω,, χάσκεις κερά και χάνεται στση μπούκας σου τον πάτο 
20089|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|17/11/2023| Θωρεί η γυναίκα την ψωλή το αίμα τζη μαργώνει,, και χάνεται στη μπούκα τζη που μου την τσιμπουκώνει. 
19898|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|03/09/2023| Κάψα είναι καλοκαιριού και στον οντά επάνω, την καψωμένη μου ψωλή μες στο μουνί σου βάνω. 
19794|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|03/08/2023| Το μπούτσο έχω τριχωτό μα και τα σβάχια επίσης, και συ κερά μου λυγερή πάντοτε μου φροντίζεις. 
19777|['Υβριστικές-Ανήθικες']|Πετράκης Πέτρος|12/07/2023| Ω τα παντέρμα γίτσικα μιαν ομορφιά την έχουν, μα μοναχά να βόσκουνε και να γαμούν κατέχουν 
19647|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|20/05/2023| Χάσκει η μπούκα τσι κεράς κι ο πούτσος μπαινοβγαίνει,, και που γαμώ καθημερνώς ποτέ τζη δεν χορταίνει. 
19637|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|11/05/2023| Μαύρο μπικίνι απου φορείς κι έχεις τον κώλο όξω,, το κέφι ανάβεις τσι ψωλής και θα σου την εχώσω. 
19631|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|01/05/2023| Κυκλοφορεί εις τον οντά ολόγυμνη η αμπλά μου,, κι ανασηκώνεται η ψωλή και βρήκα τον μπελά μου. 
19619|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|10/04/2023| Γυμνή είναι και πανέμορφη του Δία η Ευρώπη,, που ξυρισμένο' χει το μουνί και το θωρούν ανθρώποι. 
19618|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|10/04/2023| Κοπέλι στο Γυμνάσιο δεν έπαιζα παιχνίδια,, μα κοπελιές μου παίζανε τον πούτσο και τ' αρχίδια. 
19610|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|10/04/2023| Εξέκαμε η μπούκα σου του φίλου μου τον ψώλο,, κι εμένα σου μπαινε βαθιά στον όμορφο σου κώλο. 
19586|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|09/03/2023| Έχεις μαστάρια όμορφα και μέσα στη διχάλα,, σου χώνω μέσα το καυλί και χύνω μου το γάλα. 
19585|['Υβριστικές-Ανήθικες']|Γιώργος Λινοξυλάκης|09/03/2023| Τα χείλη σου τα όμορφα είναι σαν τη βεντούζα,, όντε τα σβάχια μου ρουφάς κι είναι η ψωλή μου σούζα. 
